"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,8.32,6.44,53.93,44.61,0,30.59,75.19
1984,16,68.11,33.2,58.2,0,0,21.3,21.3
1985,16,0.42,25.42,75,100,0,0,100
1986,16,50,50,75,0,0,0,0
1987,16,11.32,10.4,52.97,0,0,32.68,32.68
1988,16,17.65,35.78,75,0,0,0,0
1989,16,2,25,75,100,0,0,100
1990,16,18.77,37.49,68.72,0,0,0,0
1991,16,25,50,75,0,0,0,0
1992,16,11.64,14.38,33.34,0,0,75.35,75.35
1993,16,21.18,0,50,0,0,39.13,39.13
1994,16,23.59,39.59,75,0,0,0,0
1995,16,31,44.5,69.5,0,0,0,0
1996,16,28.7,25,75,0,0,0,0
1997,16,41.79,39.05,75,0,0,0,0
1998,16,49.88,50,75,0,0,0,0
1999,16,29.49,43.4,75,0,0,0,0
2000,16,8.63,26.68,75,39.46,0,0,39.46
2001,16,19.23,33.23,75,0,0,0,0
2002,16,35.57,47.78,72.78,0,0,0,0
2003,16,11.69,27.69,75,0,0,0,0
2004,16,10.73,21.03,60.29,4.44,0,16.76,21.2
2005,16,12.26,37.26,75,0,0,0,0
2006,16,0,0,37.79,100,0,65.68,165.68
2007,16,16.96,30.24,75,0,0,0,0
2008,16,30.08,25,75,0,0,0,0
2009,16,18.19,29.2,75,0,0,0,0
2010,16,35.02,31.4,71.38,0,0,0,0
2011,16,28.17,24.54,70.33,0,0,0,0
2012,16,22.05,42.67,75,0,0,0,0
2013,16,3.29,28.29,75,100,0,0,100
2014,16,0,25,68.07,100,0,0,100
2015,16,19.29,2.82,27.82,0,0,87.34,87.34
2016,16,56.15,50,75,0,0,0,0
2017,16,1.24,26.24,75,100,0,0,100
2018,16,63.33,38.33,75,0,0,0,0
2019,16,51.41,35.12,75,0,0,0,0
