"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,29.95,6.4,52.96,0,0,33.53,33.53
1984,16,29.55,28.87,49.28,0,0,51.03,51.03
1985,16,5.34,25.73,75,88.56,0,0,88.56
1986,16,39.38,50,75,0,0,0,0
1987,16,55.83,50,66.25,0,0,0,0
1988,16,10.53,25,75,0,0,0,0
1989,16,3.16,3.75,53.75,100,0,29.74,129.74
1990,16,0,4.97,54.97,100,0,23.94,123.94
1991,16,7.59,25,75,13.66,0,0,13.66
1992,16,11.62,31.19,69.57,0,0,0,0
1993,16,25.68,25,75,0,0,0,0
1994,16,38.43,38.43,75,0,0,0,0
1995,16,10.38,35.38,75,0,0,0,0
1996,16,30.28,25,75,0,0,0,0
1997,16,65.73,49.72,75,0,0,0,0
1998,16,44.39,50,75,0,0,0,0
1999,16,4.4,25,75,100,0,0,100
2000,16,27.45,40.3,65.3,0,0,0,0
2001,16,3.84,7.27,57.27,100,0,13,113
2002,16,9.8,29.77,66.63,0,0,0,0
2003,16,29.64,50,75,0,0,0,0
2004,16,15.63,15.63,50,0,0,47.62,47.62
2005,16,11.51,36.51,71.68,0,0,0,0
2006,16,15.6,38.38,72.78,0,0,0,0
2007,16,18.01,35.56,75,0,0,0,0
2008,16,18.19,43.19,75,0,0,0,0
2009,16,19.7,32.99,75,0,0,0,0
2010,16,20.74,12.7,56.35,0,0,17.38,17.38
2011,16,25,25,62.16,0,0,0,0
2012,16,25,50,73.33,0,0,0,0
2013,16,19.67,35.53,65.86,0,0,0,0
2014,16,0,25,75,100,0,0,100
2015,16,0,9.55,59.55,100,0,2.16,102.16
2016,16,19.55,30.72,75,0,0,0,0
2017,16,3.31,25,75,100,0,0,100
2018,16,24.42,25,75,0,0,0,0
2019,16,52.67,44.01,50,0,0,47.62,47.62
