"","MIXEDET"
"1983",-9.62744116159573
"1984",41.494424701494
"1985",57.854081162645
"1986",42.1713823818168
"1987",-3.66392439145173
"1988",61.788465842216
"1989",41.8549102427476
"1990",49.0885591357571
"1991",41.8681849895128
"1992",42.1927634288607
"1993",19.910230508359
"1994",74.0195672500057
"1995",58.7681345249453
"1996",33.5573230393313
"1997",19.6036600246638
"1998",91.5220488363565
"1999",89.1108325386866
"2000",25.1
"2001",16.6
"2002",7.3
"2003",49.1
"2004",38.3
"2005",86.8
"2006",60.7
"2007",93.9
"2008",77.9
"2009",59.2
"2010",85.4
"2011",65.4
"2012",62.6
"2013",75.8
"2014",57.3
