"","MIXEDET"
"1983",57.8204810855093
"1984",30.5125616584314
"1985",54.6911608035873
"1986",71.9884176895026
"1987",87.8227469907536
"1988",30.2423065867736
"1989",115.777533324548
"1990",29.2369144614952
"1991",62.9511134518226
"1992",80.1793428591069
"1993",69.9781182348518
"1994",-5.02525307070322
"1995",63.1186290833787
"1996",106.815894540213
"1997",98.8625939485866
"1998",33.0025480161777
"1999",54.2693137812895
"2000",40.5
"2001",19.9
"2002",14.4
"2003",107.9
"2004",53.2
"2005",88.3
"2006",99.5
"2007",100.2
"2008",102.8
"2009",72.2
"2010",82.5
"2011",21.8
"2012",85.2
"2013",25.1
"2014",55.6
