"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,12.92,5.25,51.06,0.95,0,25.54,26.49
1984,16,49.53,31.72,57.19,0,0,8.03,8.03
1985,16,26.65,26.65,75,0,0,0,0
1986,16,25,50,54.66,0,0,15.25,15.25
1987,16,58.77,11.28,30.99,0,0,82.88,82.88
1988,16,45.81,45.81,75,0,0,0,0
1989,16,20.44,25,75,0,0,0,0
1990,16,8.11,19.74,61.63,61.12,0,0,61.12
1991,16,34.02,50,75,0,0,0,0
1992,16,0,5.23,55.23,100,0,13.64,113.64
1993,16,9.15,0,50,48.17,0,28.57,76.74
1994,16,41.55,50,75,0,0,0,0
1995,16,6.4,10.05,60.05,82.54,0,0,82.54
1996,16,50,25,75,0,0,0,0
1997,16,53.5,50,75,0,0,0,0
1998,16,3.23,25,75,100,0,0,100
1999,16,23.08,48.08,75,0,0,0,0
2000,16,14.31,27.98,75,0,0,0,0
2001,16,22.74,47.74,75,0,0,0,0
2002,16,26.05,37.08,69.09,0,0,0,0
2003,16,20.22,40.6,75,0,0,0,0
2004,16,23.2,27.45,54.25,0,0,16.43,16.43
2005,16,29.86,44.21,75,0,0,0,0
2006,16,0,25,75,100,0,0,100
2007,16,36.29,33.21,75,0,0,0,0
2008,16,26.16,32.03,75,0,0,0,0
2009,16,53.41,28.16,71.67,0,0,0,0
2010,16,31.89,34.85,59.85,0,0,0.42,0.42
2011,16,33.23,40.15,75,0,0,0,0
2012,16,19.26,44.26,75,0,0,0,0
2013,16,11.92,36.92,75,13.47,0,0,13.47
2014,16,25,50,73.39,0,0,0,0
2015,16,14.72,25,67.1,0,0,0,0
2016,16,20.96,37.96,75,0,0,0,0
2017,16,6.44,31.44,75,82.01,0,0,82.01
2018,16,46.78,27.02,62.6,0,0,0,0
2019,16,69.12,39.2,64.2,0,0,0,0
