"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,4.64,0.82,35.88,100,0,0,100
1984,16,0.39,0.39,0,100,0,100,200
1985,16,0,17.33,41.25,100,0,0,100
1986,16,25,25.37,25.37,0,0,3.01,3.01
1987,16,1.57,2.75,6.6,100,0,92.39,192.39
1988,16,0,2.64,52.64,100,0,0,100
1989,16,0.7,7.29,30.76,100,0,0,100
1990,16,0,0,42.6,100,0,0,100
1991,16,12.17,31.58,50,0,0,0,0
1992,16,0,0,25,100,0,4.76,104.76
1993,16,11.08,6.7,42.66,0,0,0,0
1994,16,0,0,31.22,100,0,0,100
1995,16,3.05,4.58,29.58,100,0,0,100
1996,16,37.76,17.23,33.77,0,0,0,0
1997,16,20.77,32.34,50,0,0,0,0
1998,16,0,12.07,62.07,100,0,0,100
1999,16,0,10.23,60.23,100,0,0,100
2000,16,0,0,28.62,100,0,0,100
2001,16,25,25,41.76,0,0,0,0
2002,16,6.24,0,25,0,0,4.76,4.76
2003,16,9.07,12.89,37.82,0,0,0,0
2004,16,4.98,4.98,2.99,100,0,100,200
2005,16,0,0,39.5,100,0,0,100
2006,16,2.91,25,50,100,0,0,100
2007,16,4.97,25,75,100,0,0,100
2008,16,0,0,39.36,100,0,0,100
2009,16,0,3.68,37.42,100,0,0,100
2010,16,0,0,48.83,100,0,0,100
2011,16,0,0,46.97,100,0,0,100
2012,16,0,0,45.39,100,0,0,100
2013,16,0,3.51,53.51,100,0,0,100
2014,16,0,0,25,100,0,4.76,104.76
2015,16,0,6.58,6.58,100,0,92.47,192.47
2016,16,0,12.31,62.31,100,0,0,100
2017,16,0,25,38.73,100,0,0,100
2018,16,6.25,0,22.29,0,0,17.67,17.67
2019,16,4.38,7.45,32.61,100,0,0,100
