Time,NDVI
Oct 1981,0.5008226
Oct 1982,0.4210081
Oct 1983,0.3889113
Oct 1984,0.2576048
Oct 1985,0.3132742
Oct 1986,0.3348226
Oct 1987,0.3122178
Oct 1988,0.3567097
Oct 1989,0.3660161
Oct 1990,0.3422581
Oct 1991,0.2835645
Oct 1992,0.4516613
Oct 1993,0.3402258
Oct 1994,0.5466533
Oct 1995,0.3842339
Oct 1996,0.3739839
Oct 1997,0.3687178
Oct 1998,0.4496049
Oct 1999,0.4209355
Oct 2000,0.4502662
Oct 2001,0.4171774
Oct 2002,0.3978226
Oct 2003,0.3987904
Oct 2004,0.3532662
Oct 2005,0.35625
Oct 2006,0.3915726
