Time,HainET30Y Evapotranspiration
Jul 1983,29.41715
Jul 1984,19.20753
Jul 1985,29.21495
Jul 1986,22.21028
Jul 1987,29.12144
Jul 1988,28.8072
Jul 1989,26.46638
Jul 1990,17.53926
Jul 1991,27.53339
Jul 1992,30.15615
Jul 1993,24.99672
Jul 1994,17.56308
Jul 1995,27.34134
Jul 1996,29.19963
Jul 1997,25.09088
Jul 1998,24.28588
Jul 1999,31.89772
Jul 2000,41.26385
Jul 2001,22.24049
Jul 2002,31.75362
Jul 2003,30.63516
Jul 2004,37.53967
Jul 2005,26.10657
Jul 2006,23.27398
Jul 2007,18.75581
Jul 2008,32.49807
Jul 2009,26.09661
Jul 2010,30.31073
Jul 2011,23.37405
Jul 2012,23.15371
Jul 2013,17.20259
