"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,8.49,6.59,53.73,56.33,0,28.54,84.87
1984,16,67.15,32.62,57.62,0,0,19.49,19.49
1985,16,25.56,25.56,75,0,0,0,0
1986,16,38.18,45.3,70.3,0,0,0,0
1987,16,10.83,10.57,53.32,27.14,0,29.5,56.64
1988,16,20.97,41.12,75,0,0,0,0
1989,16,2.36,25,75,100,0,0,100
1990,16,10.9,30.6,69.7,26.23,0,0,26.23
1991,16,30.12,50,75,0,0,0,0
1992,16,9.24,3.78,30.78,47.02,0,81.9,128.91
1993,16,25.86,0,50,0,0,37.21,37.21
1994,16,23.95,48.95,75,0,0,0,0
1995,16,31.4,50,75,0,0,0,0
1996,16,46.94,25,75,0,0,0,0
1997,16,51.68,39.86,75,0,0,0,0
1998,16,44.62,44.62,75,0,0,0,0
1999,16,36.66,36.66,75,0,0,0,0
2000,16,25.27,35.74,75,0,0,0,0
2001,16,17.56,31.53,69.95,0,0,0,0
2002,16,36.69,50,75,0,0,0,0
2003,16,30.56,44.02,75,0,0,0,0
2004,16,20.76,23.38,60.71,0,0,12.31,12.31
2005,16,20.49,45.49,75,0,0,0,0
2006,16,0,0,29.3,100,0,85.34,185.34
2007,16,19.63,36.08,75,0,0,0,0
2008,16,43.12,25,75,0,0,0,0
2009,16,37.4,32.78,75,0,0,0,0
2010,16,33.36,50,75,0,0,0,0
2011,16,36.1,30.32,68.96,0,0,0,0
2012,16,9.48,23.88,64.4,43.96,0,3.73,47.69
2013,16,8.98,33.98,75,50.24,0,0,50.24
2014,16,31.4,50,75,0,0,0,0
2015,16,33.28,21.8,49.79,0,0,37.69,37.69
2016,16,70.17,48.06,75,0,0,0,0
2017,16,0.95,25.95,75,100,0,0,100
2018,16,60.39,35.39,75,0,0,0,0
2019,16,59.82,50,75,0,0,0,0
