"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,7.56,5.83,53.51,68.01,0,19.7,87.72
1984,16,67.2,32.98,57.98,0,0,7.96,7.96
1985,16,0.39,25.39,75,100,0,0,100
1986,16,29.57,50,52.38,0,0,22.67,22.67
1987,16,10.48,9.57,52.83,31.52,0,21.49,53.01
1988,16,15.42,35.4,75,0,0,0,0
1989,16,2.11,25,75,100,0,0,100
1990,16,12.56,31.73,69.17,5.54,0,0,5.54
1991,16,26.78,50,71.86,0,0,0,0
1992,16,16.11,10.49,28.97,0,0,84.29,84.29
1993,16,25.58,0,50,0,0,28.95,28.95
1994,16,23.25,48.25,75,0,0,0,0
1995,16,28.75,42.29,69.81,0,0,0,0
1996,16,28.7,25,75,0,0,0,0
1997,16,56.18,47.8,75,0,0,0,0
1998,16,45.87,45.87,75,0,0,0,0
1999,16,30.18,44.78,75,0,0,0,0
2000,16,17.02,26.71,75,0,0,0,0
2001,16,28.74,36.43,75,0,0,0,0
2002,16,29.79,47.14,72.14,0,0,0,0
2003,16,14.25,27.72,75,0,0,0,0
2004,16,18.62,21.24,60.84,0,0,0.43,0.43
2005,16,17.29,42.29,75,0,0,0,0
2006,16,14.69,14.69,29.14,0,0,83.84,83.84
2007,16,16.82,32.96,75,0,0,0,0
2008,16,32.95,25,75,0,0,0,0
2009,16,18.21,29.22,75,0,0,0,0
2010,16,25,50,75,0,0,0,0
2011,16,36.29,37.41,69.27,0,0,0,0
2012,16,9.19,22.23,63.03,47.58,0,0,47.58
2013,16,3.01,28.01,75,100,0,0,100
2014,16,0,25,61.74,100,0,0,100
2015,16,30,13.18,44.2,0,0,44.22,44.22
2016,16,51.41,45.09,75,0,0,0,0
2017,16,1.39,26.39,75,100,0,0,100
2018,16,60.35,35.35,75,0,0,0,0
2019,16,57.23,44.31,75,0,0,0,0
