"","MIXEDET"
"1983",61.8613307490132
"1984",-22.0481441474411
"1985",76.1865992075246
"1986",69.8582174711737
"1987",114.63048750911
"1988",48.5675207143509
"1989",74.9456702711964
"1990",47.8427954418442
"1991",101.342370897211
"1992",35.2780281919503
"1993",94.0126584324634
"1994",68.2270992948393
"1995",67.0882249615333
"1996",110.450471407088
"1997",71.2831388531176
"1998",36.9626645422544
"1999",84.9205469515111
"2000",51.6
"2001",24.2
"2002",18.2
"2003",106.3
"2004",35.2
"2005",93.6
"2006",79.8
"2007",95.1
"2008",89.6
"2009",57.6
"2010",81.8
"2011",75.1
"2012",84.8
"2013",32.2
"2014",70.5
