"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",12.32868,13.93313,13.47908,14.33605,16.28037,17.17788,13.77019,16.33008,13.96657,14.04211,15.0991,16.30599,15.57851,16.14113,16.54107,14.83467,19.17554,16.51037,16.29282,16.08805,15.01003,15.9205,14.25131,15.19309,15.58481,15.49405,15.63095,16.28065,14.51328,14.58193,14.40999
"Feb",14.17955,11.02536,13.97518,13.0485,12.63605,13.80971,19.83447,12.85364,12.20755,15.35603,13.1079,15.46187,13.57646,19.17737,17.1148,15.15887,16.89677,16.74385,16.691,18.92816,14.69505,15.49035,15.93617,15.25944,16.71857,16.1031,16.66397,17.09547,15.70673,16.13041,16.20145
"Mar",18.9018,20.04551,19.72168,20.36152,18.53255,18.02135,21.63499,16.06817,20.20641,20.57872,21.5827,25.83057,20.46222,25.02992,16.81538,20.12204,24.44453,24.33333,20.96816,22.61375,19.83741,22.66667,23.15606,21.67334,23.62434,22.10751,22.91934,23.19155,22.83859,24.44728,25.96279
"Apr",20.33648,25.28292,19.86755,22.46093,22.56135,19.84167,21.36934,18.57004,24.25578,21.66592,22.4252,24.41673,24.55513,24.99331,17.39588,21.01413,27.39952,21.01228,24.82973,25.98607,24.59373,24.04104,26.92677,22.39982,27.18312,23.5853,25.96767,23.14997,27.43789,27.14405,28.54153
"May",20.44144,25.41346,24.19209,25.79684,27.72013,26.35661,27.82822,24.10422,30.08681,26.48005,26.90031,26.31792,23.88106,34.2733,22.63063,23.28971,28.55402,28.96704,27.94661,29.06046,27.2042,31.73278,27.41066,30.23789,27.04739,26.53981,28.46336,30.13518,28.50127,30.31787,29.94655
"Jun",24.03208,21.84538,25.97894,22.80609,27.19911,26.00851,27.17585,24.97969,30.06367,24.50031,27.33329,25.38728,28.43644,31.14556,29.09989,22.58635,25.73639,28.98485,27.70107,28.24728,25.13566,25.6047,27.14271,29.37204,28.33109,25.42799,26.42254,28.34431,32.43293,34.36285,33.42619
"Jul",29.6185,33.4826,31.07281,29.3283,34.64406,18.48693,33.69003,27.29699,28.5469,31.38451,35.0357,23.57659,24.13358,33.17932,33.77935,29.98588,34.03893,38.10707,36.68996,30.77559,28.24843,31.48107,29.49975,28.88091,31.61346,29.21338,28.35763,30.33348,40.43257,35.97319,38.94754
"Aug",29.18999,34.54829,36.64468,47.43618,39.64389,32.72174,33.33961,45.05676,34.96251,25.09329,42.57916,38.20543,49.65379,41.16305,46.77084,33.28748,46.06616,39.65248,38.72441,36.62995,32.64389,38.08728,35.31979,40.05088,41.95605,38.18959,45.46778,41.28956,43.44131,49.82898,46.82441
"Sep",40.79345,39.93159,41.62737,42.50732,44.14307,41.89531,35.8322,35.2214,38.01773,43.94107,43.11786,41.2355,47.43556,48.09412,42.72696,45.77224,45.02223,40.83723,48.89379,44.07652,46.2866,44.45918,40.94368,43.01796,42.73169,42.03899,50.16742,50.40807,50.66954,50.98935,54.28365
"Oct",32.75579,35.94776,34.72576,39.16468,34.29083,33.92278,36.2155,35.18215,33.39083,30.27626,33.59689,38.27933,36.36253,35.5261,33.50003,35.40841,37.9162,36.23053,35.88371,36.9229,39.09528,36.88813,37.25323,41.3576,40.58742,34.4093,34.84515,42.0484,41.2231,40.75672,39.86266
"Nov",21.8363,18.67039,22.81166,23.77609,24.81811,23.81744,23.67183,18.64227,19.98757,23.27842,25.64462,24.74489,23.95459,24.42783,27.01096,26.2562,28.26526,28.94546,27.13625,23.50736,24.87158,23.80101,25.54108,26.12112,26.32576,24.09368,23.56554,25.0206,24.09713,25.70323,24.51415
"Dec",17.50872,14.6186,18.58009,16.42001,17.53407,14.91288,16.38587,14.60482,17.23487,18.95941,18.68336,18.14845,18.26272,19.73318,18.64274,19.68532,22.30402,20.13413,20.07655,18.77254,16.47254,17.68291,18.37948,19.08688,18.97832,18.04494,17.30039,18.36742,18.17672,17.16555,16.53345
