"year","crop","value"
"1983","Barley",85.09814
"1983","Maize",76.86497
"1983","Sorghum",78.05456
"1983","Teff",59.64454
"1983","Wheat",58.89712
"1984","Barley",76.56838
"1984","Maize",49.82156
"1984","Sorghum",52.27418
"1984","Teff",58.14731
"1984","Wheat",57.2631
"1985","Barley",96.15845
"1985","Maize",62.94646
"1985","Sorghum",63.40962
"1985","Teff",74.41089
"1985","Wheat",73.11617
"1986","Barley",95.76859
"1986","Maize",76.62074
"1986","Sorghum",73.65144
"1986","Teff",92.72619
"1986","Wheat",91.90498
"1987","Barley",96.60097
"1987","Maize",85.75677
"1987","Sorghum",88.45183
"1987","Teff",82.15731
"1987","Wheat",80.44141
"1988","Barley",96.97956
"1988","Maize",75.9482
"1988","Sorghum",75.95869
"1988","Teff",72.96932
"1988","Wheat",72.00089
"1989","Barley",90.48745
"1989","Maize",68.49851
"1989","Sorghum",70.90911
"1989","Teff",64.90747
"1989","Wheat",64.06532
"1990","Barley",87.17053
"1990","Maize",53.12778
"1990","Sorghum",60.26376
"1990","Teff",64.40209
"1990","Wheat",63.81256
"1991","Barley",95.91614
"1991","Maize",79.06361
"1991","Sorghum",79.32659
"1991","Teff",66.86269
"1991","Wheat",65.92585
"1992","Barley",89.99927
"1992","Maize",74.62022
"1992","Sorghum",76.34665
"1992","Teff",65.84084
"1992","Wheat",64.9145
"1993","Barley",98.59003
"1993","Maize",94.6747
"1993","Sorghum",96.45351
"1993","Teff",75.98034
"1993","Wheat",74.80137
"1994","Barley",97.33692
"1994","Maize",91.43196
"1994","Sorghum",91.5899
"1994","Teff",76.86306
"1994","Wheat",75.47353
"1995","Barley",93.03239
"1995","Maize",75.7691
"1995","Sorghum",75.79009
"1995","Teff",66.46355
"1995","Wheat",65.46355
"1996","Barley",98.18925
"1996","Maize",97.08398
"1996","Sorghum",97.44189
"1996","Teff",85.09599
"1996","Wheat",83.71695
"1997","Barley",89.15829
"1997","Maize",84.90453
"1997","Sorghum",85.20973
"1997","Teff",78.62063
"1997","Wheat",77.26277
"1998","Barley",99.97895
"1998","Maize",92.90577
"1998","Sorghum",93.15845
"1998","Teff",80.46327
"1998","Wheat",79.45274
"1999","Barley",94.14764
"1999","Maize",51.40019
"1999","Sorghum",57.28257
"1999","Teff",65.83221
"1999","Wheat",64.83221
"2000","Barley",98.27441
"2000","Maize",65.00015
"2000","Sorghum",71.13773
"2000","Teff",81.10553
"2000","Wheat",80.10553
"2001","Barley",82.06219
"2001","Maize",48.00981
"2001","Sorghum",57.14748
"2001","Teff",58.56752
"2001","Wheat",57.91491
"2002","Barley",73.94787
"2002","Maize",48.41073
"2002","Sorghum",50.56854
"2002","Teff",57.00031
"2002","Wheat",56.11617
"2003","Barley",99.75807
"2003","Maize",63.30467
"2003","Sorghum",64.36778
"2003","Teff",79.0626
"2003","Wheat",77.91521
"2004","Barley",69.26462
"2004","Maize",44.82167
"2004","Sorghum",46.82167
"2004","Teff",52.69572
"2004","Wheat",51.88526
"2005","Barley",83.45387
"2005","Maize",54.29575
"2005","Sorghum",56.63261
"2005","Teff",63.07437
"2005","Wheat",62.14802
"2006","Barley",98.46342
"2006","Maize",83.2216
"2006","Sorghum",84.37939
"2006","Teff",80.94736
"2006","Wheat",79.94736
"2007","Barley",97.68464
"2007","Maize",65.35894
"2007","Sorghum",65.43256
"2007","Teff",82.52809
"2007","Wheat",81.35965
"2008","Barley",99.00005
"2008","Maize",83.4626
"2008","Sorghum",85.06273
"2008","Teff",78.77879
"2008","Wheat",77.85249
"2009","Barley",94.48544
"2009","Maize",64.73657
"2009","Sorghum",65.3261
"2009","Teff",74.09635
"2009","Wheat",72.95953
"2010","Barley",93.24303
"2010","Maize",78.28501
"2010","Sorghum",79.28507
"2010","Teff",78.03401
"2010","Wheat",76.62346
"2011","Barley",92.26611
"2011","Maize",70.89645
"2011","Sorghum",73.49651
"2011","Teff",75.69666
"2011","Wheat",74.32829
"2012","Barley",99.17929
"2012","Maize",84.90577
"2012","Sorghum",85.46339
"2012","Teff",78.98928
"2012","Wheat",77.91562
"2013","Barley",99.02139
"2013","Maize",62.50615
"2013","Sorghum",60.69523
"2013","Teff",77.45341
"2013","Wheat",76.04285
"2014","Barley",100
"2014","Maize",99.45282
"2014","Sorghum",99.45282
"2014","Teff",80.68422
"2014","Wheat",79.34729
"2015","Barley",98.5793
"2015","Maize",69.59956
"2015","Sorghum",70.61016
"2015","Teff",75.39982
"2015","Wheat",74.3998
"2016","Barley",99.61057
"2016","Maize",83.39936
"2016","Sorghum",84.09418
"2016","Teff",87.38954
"2016","Wheat",86.00016
"2017","Barley",99.50526
"2017","Maize",93.50593
"2017","Sorghum",94.7164
"2017","Teff",74.83199
"2017","Wheat",73.68466
"2018","Barley",100
"2018","Maize",90.64153
"2018","Sorghum",90.93634
"2018","Teff",92.48432
"2018","Wheat",91.17907
