"year","MIXEDET"
1983,33.517277213313
1984,44.3101786751482
1985,37.5793419955292
1986,32.7067133034182
1987,47.5542777750326
1988,2.42544777682811
1989,44.8895559040576
1990,27.0330173151051
1991,30.5241680270853
1992,38.4499580214224
1993,48.6481759475729
1994,16.6414874378732
1995,18.1972282792664
1996,43.463080733753
1997,45.13903753201
1998,34.5434142540337
1999,45.8640760562364
2000,23.78305
2001,23.6654
2002,16.4535
2003,46.07108
2004,31.22989
2005,46.85967
2006,37.95428
2007,58.37056
2008,35.68857
2009,46.04239
2010,55.92296
2011,29.91143
2012,44.28342
2013,59.5744210381414
2014,39.27707
