"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",2.338478,3.620278,3.511134,3.481055,3.82996,4.395777,3.882089,3.900732,2.489585,3.297225,6.192214
"Feb",3.183002,3.787966,4.147342,4.625399,4.41523,6.118912,5.221505,5.132892,4.07824,4.58185,6.338788
"Mar",5.678383,7.642955,4.755864,7.145794,5.090724,7.818164,6.887985,6.856693,5.979806,6.558431,6.977314
"Apr",8.004314,9.527079,6.83357,8.502438,7.313821,8.811436,10.20312,10.11644,7.942679,8.487749,10.70225
"May",8.738096,10.37532,10.29655,10.59591,9.261911,10.61176,11.12878,13.62724,9.380366,13.86593,17.07503
"Jun",13.87078,15.92736,14.78442,15.91238,13.60179,16.57432,17.60702,15.93957,13.32053,16.46615,17.24562
"Jul",35.33553,29.39958,32.85357,30.02209,26.8922,34.10357,27.70188,33.62029,27.84677,33.09306,29.55995
"Aug",34.18551,30.45643,31.15055,35.45841,32.92213,35.66718,32.4082,35.0538,32.01915,36.64685,33.21695
"Sep",21.63307,17.55834,13.6209,24.68142,20.86795,22.02114,19.04639,23.07479,19.40084,23.15,20.60191
"Oct",4.45636,3.670264,2.267019,7.137977,5.479307,5.604054,5.648312,8.796367,4.729739,7.738283,5.826379
"Nov",1.755724,1.54742,1.606381,2.876588,2.262568,3.794451,2.852894,3.923104,2.871608,3.574994,3.720338
"Dec",2.760496,2.319942,2.920094,2.956626,2.613123,3.418633,2.684302,2.273405,2.571057,4.291027,4.473737
