"year","MIXEDET"
1983,24.0324733726612
1984,28.3191899550341
1985,26.6780819046265
1986,32.639413612577
1987,26.0939844215137
1988,25.5997047014216
1989,28.6787564602847
1990,27.2909995012922
1991,24.8853123712953
1992,20.7025415852411
1993,25.1620445520375
1994,31.4504160573983
1995,28.876213184222
1996,27.7529136698173
1997,25.0319645800551
1998,27.5948596547171
1999,30.9627437445141
2000,35.23669
2001,32.8064
2002,23.30057
2003,29.56491
2004,26.50039
2005,24.19425
2006,34.15397
2007,28.64702
2008,33.17079
2009,25.44712
2010,30.90625
2011,27.73603
2012,27.43635
2013,33.5767790765897
2014,36.69398
