"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,48.69,45.5,75,0,0,0,0
1984,16,50,50,75,0,0,0,0
1985,16,39.67,39.67,75,5.56,0,0,5.56
1986,16,44.04,50,75,0,0,0,0
1987,16,75,37.17,62.17,0,0,47.53,47.53
1988,16,64.62,39.62,75,0,0,0,0
1989,16,70.08,50,75,0,0,0,0
1990,16,50,50,75,0,0,0,0
1991,16,32.97,50,75,33.44,0,0,33.44
1992,16,39.74,50,75,5.27,0,0,5.27
1993,16,52.52,34.74,74.25,0,0,2.77,2.77
1994,16,75,50,75,0,0,0,0
1995,16,70.2,50,75,0,0,0,0
1996,16,75,50,75,0,0,0,0
1997,16,75,50,75,0,0,0,0
1998,16,51.02,38.49,75,0,0,0,0
1999,16,37.87,50,75,13.04,0,0,13.04
2000,16,41.37,50,75,0,0,0,0
2001,16,73.24,50,75,0,0,0,0
2002,16,50,50,75,0,0,0,0
2003,16,51.46,48.44,75,0,0,0,0
2004,16,21.71,29.02,60.47,80.38,0,53.83,134.22
2005,16,39.31,50,75,7.05,0,0,7.05
2006,16,75,50,75,0,0,0,0
2007,16,68.47,43.54,75,0,0,0,0
2008,16,73.08,50,75,0,0,0,0
2009,16,53.91,44.12,75,0,0,0,0
2010,16,40.22,33.66,75,3.24,0,0,3.24
2011,16,75,50,75,0,0,0,0
2012,16,52.75,50,75,0,0,0,0
2013,16,50,50,75,0,0,0,0
2014,16,35.16,50,75,24.34,0,0,24.34
2015,16,61.14,38.15,75,0,0,0,0
2016,16,50,50,75,0,0,0,0
2017,16,34.26,50,75,28.08,0,0,28.08
2018,16,75,50,75,0,0,0,0
2019,16,75,50,75,0,0,0,0
