"","MIXEDET"
"1983",5.78222441033664
"1984",-10.6726779258921
"1985",28.8428268493273
"1986",33.6752056676887
"1987",-5.25648883538774
"1988",31.5189558967374
"1989",46.3190780869638
"1990",-15.7284864853711
"1991",-6.4316124729359
"1992",1.11050460956256
"1993",31.8021009780463
"1994",50.9606694874729
"1995",35.1436847815009
"1996",30.2115999093743
"1997",24.6228783495735
"1998",75.7386294173038
"1999",44.9243536064061
"2000",11.3
"2001",3.8
"2002",1.3
"2003",40.7
"2004",2.9
"2005",41.9
"2006",50
"2007",72.7
"2008",51.5
"2009",40.9
"2010",51.9
"2011",13.5
"2012",17.9
"2013",41.8
"2014",33.3
