Time,precipitation
11-20 Aug 1986,21.85168
21-31 Aug 1986,25.1112
1-10 Sep 1986,7.286336
11-20 Sep 1986,1.198647
21-30 Sep 1986,1.158777
1-10 Oct 1986,2.114476
11-20 Oct 1986,1.728975
21-31 Oct 1986,3.02884
1-10 Nov 1986,5.305277
11-20 Nov 1986,5.347673
21-30 Nov 1986,5.449131
1-10 Dec 1986,3.026689
11-20 Dec 1986,1.869207
21-31 Dec 1986,2.519588
1-10 Jan 1987,1.845701
11-20 Jan 1987,1.852637
21-31 Jan 1987,2.421104
1-10 Feb 1987,1.271056
11-20 Feb 1987,1.624969
21-28 Feb 1987,2.540599
1-10 Mar 1987,8.466097
11-20 Mar 1987,8.216036
21-31 Mar 1987,9.477829
1-10 Apr 1987,13.87333
11-20 Apr 1987,23.66257
21-30 Apr 1987,8.778131
1-10 May 1987,15.74398
11-20 May 1987,30.9714
21-31 May 1987,33.25057
1-10 Jun 1987,15.28278
11-20 Jun 1987,15.35681
21-30 Jun 1987,6.221146
1-10 Jul 1987,28.57603
11-20 Jul 1987,32.63399
21-31 Jul 1987,28.72929
1-10 Aug 1987,34.58099
11-20 Aug 1987,56.29868
21-31 Aug 1987,24.63693
1-10 Sep 1987,4.947872
11-20 Sep 1987,0.8108057
21-30 Sep 1987,0.5739119
1-10 Oct 1987,8.282645
11-20 Oct 1987,2.059168
21-31 Oct 1987,9.928329
1-10 Nov 1987,4.3745
11-20 Nov 1987,6.575332
21-30 Nov 1987,5.449131
1-10 Dec 1987,3.026689
11-20 Dec 1987,2.155863
21-31 Dec 1987,2.563552
1-10 Jan 1988,2.120011
11-20 Jan 1988,1.445894
21-31 Jan 1988,2.407374
1-10 Feb 1988,1.271056
11-20 Feb 1988,4.902274
21-29 Feb 1988,2.69343
1-10 Mar 1988,8.492252
11-20 Mar 1988,8.21444
21-31 Mar 1988,9.477829
1-10 Apr 1988,13.87333
11-20 Apr 1988,23.46603
21-30 Apr 1988,21.22948
1-10 May 1988,8.485487
11-20 May 1988,8.034449
21-31 May 1988,8.662774
1-10 Jun 1988,13.28323
11-20 Jun 1988,7.663965
21-30 Jun 1988,10.94723
1-10 Jul 1988,43.89472
11-20 Jul 1988,70.41295
21-31 Jul 1988,124.5873
1-10 Aug 1988,48.5517
11-20 Aug 1988,45.15172
21-31 Aug 1988,44.5915
1-10 Sep 1988,3.916888
11-20 Sep 1988,6.192686
21-30 Sep 1988,0.8664802
1-10 Oct 1988,6.318061
11-20 Oct 1988,6.652639
21-31 Oct 1988,3.02884
1-10 Nov 1988,4.3745
11-20 Nov 1988,6.514163
21-30 Nov 1988,5.449131
1-10 Dec 1988,3.026689
11-20 Dec 1988,2.155863
21-31 Dec 1988,2.170042
1-10 Jan 1989,1.840788
11-20 Jan 1989,2.859712
21-31 Jan 1989,2.407374
1-10 Feb 1989,1.955912
11-20 Feb 1989,1.218858
21-28 Feb 1989,2.569636
1-10 Mar 1989,8.492252
11-20 Mar 1989,17.90008
21-31 Mar 1989,41.06226
1-10 Apr 1989,13.87333
11-20 Apr 1989,32.02533
21-30 Apr 1989,13.01668
1-10 May 1989,8.485487
11-20 May 1989,7.41033
21-31 May 1989,8.662774
1-10 Jun 1989,8.108753
11-20 Jun 1989,9.969667
21-30 Jun 1989,7.518335
1-10 Jul 1989,36.3152
11-20 Jul 1989,39.8196
21-31 Jul 1989,43.09972
1-10 Aug 1989,55.92303
11-20 Aug 1989,28.34792
21-31 Aug 1989,18.45968
1-10 Sep 1989,5.79201
11-20 Sep 1989,2.891039
21-30 Sep 1989,1.206566
1-10 Oct 1989,2.118897
11-20 Oct 1989,4.211473
21-31 Oct 1989,3.02884
1-10 Nov 1989,4.374546
11-20 Nov 1989,6.575332
21-30 Nov 1989,5.449131
1-10 Dec 1989,7.103147
11-20 Dec 1989,2.155863
21-31 Dec 1989,2.519588
1-10 Jan 1990,1.684264
11-20 Jan 1990,1.852637
21-31 Jan 1990,2.407374
1-10 Feb 1990,2.971219
11-20 Feb 1990,4.857247
21-28 Feb 1990,2.232563
1-10 Mar 1990,18.55497
11-20 Mar 1990,8.241725
21-31 Mar 1990,21.29853
1-10 Apr 1990,13.87333
11-20 Apr 1990,14.37061
21-30 Apr 1990,44.57525
1-10 May 1990,8.485487
11-20 May 1990,8.034449
21-31 May 1990,8.662774
1-10 Jun 1990,8.108753
11-20 Jun 1990,7.663965
21-30 Jun 1990,10.94723
1-10 Jul 1990,35.91232
11-20 Jul 1990,25.44838
21-31 Jul 1990,50.94286
1-10 Aug 1990,19.39959
11-20 Aug 1990,15.82179
21-31 Aug 1990,25.1112
1-10 Sep 1990,5.546764
11-20 Sep 1990,1.848157
21-30 Sep 1990,0.8371125
1-10 Oct 1990,4.248849
11-20 Oct 1990,2.059168
21-31 Oct 1990,3.02884
1-10 Nov 1990,5.254223
11-20 Nov 1990,6.514163
21-30 Nov 1990,5.449131
1-10 Dec 1990,3.026689
11-20 Dec 1990,2.155863
21-31 Dec 1990,2.519588
1-10 Jan 1991,1.840788
11-20 Jan 1991,1.852637
21-31 Jan 1991,2.407374
1-10 Feb 1991,1.271056
11-20 Feb 1991,1.740187
21-28 Feb 1991,2.597559
1-10 Mar 1991,8.492252
11-20 Mar 1991,8.241725
21-31 Mar 1991,9.477829
1-10 Apr 1991,56.51773
11-20 Apr 1991,14.37061
21-30 Apr 1991,13.01668
1-10 May 1991,19.45002
11-20 May 1991,8.034449
21-31 May 1991,8.662774
1-10 Jun 1991,8.108753
11-20 Jun 1991,7.663965
21-30 Jun 1991,10.94723
1-10 Jul 1991,28.25748
11-20 Jul 1991,32.63399
21-31 Jul 1991,28.72929
1-10 Aug 1991,19.26096
11-20 Aug 1991,15.82179
21-31 Aug 1991,18.71556
1-10 Sep 1991,2.819931
11-20 Sep 1991,1.199896
21-30 Sep 1991,1.451075
1-10 Oct 1991,8.467879
11-20 Oct 1991,2.059168
21-31 Oct 1991,3.02884
1-10 Nov 1991,5.307858
11-20 Nov 1991,6.575332
21-30 Nov 1991,5.449131
1-10 Dec 1991,7.058896
11-20 Dec 1991,2.155863
21-31 Dec 1991,2.519588
1-10 Jan 1992,1.840788
11-20 Jan 1992,1.852637
21-31 Jan 1992,2.407374
1-10 Feb 1992,1.271056
11-20 Feb 1992,1.740187
21-29 Feb 1992,2.69343
1-10 Mar 1992,6.248902
11-20 Mar 1992,8.241725
21-31 Mar 1992,9.477829
1-10 Apr 1992,13.87333
11-20 Apr 1992,23.01126
21-30 Apr 1992,28.62585
1-10 May 1992,34.23782
11-20 May 1992,8.034449
21-31 May 1992,12.04161
1-10 Jun 1992,8.108753
11-20 Jun 1992,7.663965
21-30 Jun 1992,10.94723
1-10 Jul 1992,28.25748
11-20 Jul 1992,35.46861
21-31 Jul 1992,63.99741
1-10 Aug 1992,40.24171
11-20 Aug 1992,104.0163
21-31 Aug 1992,56.47173
1-10 Sep 1992,2.818913
11-20 Sep 1992,1.538832
21-30 Sep 1992,0.5741829
1-10 Oct 1992,8.342771
11-20 Oct 1992,2.063579
21-31 Oct 1992,5.328425
1-10 Nov 1992,11.78859
11-20 Nov 1992,6.454249
21-30 Nov 1992,5.348787
1-10 Dec 1992,3.113156
11-20 Dec 1992,2.186436
21-31 Dec 1992,2.59463
1-10 Jan 1993,1.850746
11-20 Jan 1993,3.25923
21-31 Jan 1993,2.421104
1-10 Feb 1993,1.248683
11-20 Feb 1993,1.71192
21-28 Feb 1993,2.597559
1-10 Mar 1993,8.492252
11-20 Mar 1993,26.9936
21-31 Mar 1993,9.414207
1-10 Apr 1993,39.84257
11-20 Apr 1993,23.84566
21-30 Apr 1993,26.91851
1-10 May 1993,8.414819
11-20 May 1993,28.38611
21-31 May 1993,7.853013
1-10 Jun 1993,13.17684
11-20 Jun 1993,10.0969
