"time","crop","value"
"1983","Barley",24
"1984","Barley",20
"1985","Barley",51
"1986","Barley",57
"1987","Barley",50
"1988","Barley",74
"1989","Barley",64
"1990","Barley",29
"1991","Barley",38
"1992","Barley",54
"1993","Barley",36
"1994","Barley",57
"1995","Barley",54
"1996","Barley",56
"1997","Barley",52
"1998","Barley",84
"1999","Barley",74
"2000","Barley",63
"2001","Barley",52
"2002","Barley",35
"2003","Barley",62
"2004","Barley",30
"2005","Barley",51
"2006","Barley",49
"2007","Barley",86
"2008","Barley",53
"2009","Barley",40
"2010","Barley",83
"2011","Barley",69
"2012","Barley",59
"2013","Barley",66
"2014","Barley",77
"2015","Barley",47
"2016","Barley",71
"2017","Barley",70
"2018","Barley",83
"1983","Maize",29
"1985","Maize",39
"1986","Maize",46
"1987","Maize",51
"1988","Maize",53
"1989","Maize",27
"1990","Maize",24
"1991","Maize",30
"1992","Maize",62
"1993","Maize",31
"1994","Maize",50
"1995","Maize",58
"1996","Maize",51
"1997","Maize",46
"1998","Maize",82
"1999","Maize",52
"2000","Maize",50
"2001","Maize",44
"2003","Maize",46
"2005","Maize",49
"2006","Maize",47
"2007","Maize",61
"2008","Maize",56
"2009","Maize",30
"2010","Maize",60
"2011","Maize",61
"2012","Maize",49
"2013","Maize",49
"2014","Maize",62
"2015","Maize",40
"2016","Maize",50
"2017","Maize",63
"2018","Maize",61
"1983","Sorghum",30
"1985","Sorghum",41
"1986","Sorghum",48
"1987","Sorghum",52
"1988","Sorghum",55
"1989","Sorghum",28
"1990","Sorghum",25
"1991","Sorghum",31
"1992","Sorghum",64
"1993","Sorghum",32
"1994","Sorghum",51
"1995","Sorghum",60
"1996","Sorghum",54
"1997","Sorghum",48
"1998","Sorghum",83
"1999","Sorghum",50
"2000","Sorghum",52
"2001","Sorghum",45
"2003","Sorghum",48
"2005","Sorghum",51
"2006","Sorghum",48
"2007","Sorghum",61
"2008","Sorghum",58
"2009","Sorghum",31
"2010","Sorghum",62
"2011","Sorghum",63
"2012","Sorghum",51
"2013","Sorghum",50
"2014","Sorghum",64
"2015","Sorghum",41
"2016","Sorghum",51
"2017","Sorghum",65
"2018","Sorghum",61
"1983","Teff",24
"1984","Teff",20
"1985","Teff",52
"1986","Teff",48
"1987","Teff",51
"1988","Teff",74
"1989","Teff",64
"1990","Teff",29
"1991","Teff",35
"1992","Teff",54
"1993","Teff",37
"1994","Teff",57
"1995","Teff",54
"1996","Teff",49
"1997","Teff",47
"1998","Teff",71
"1999","Teff",75
"2000","Teff",56
"2001","Teff",52
"2002","Teff",35
"2003","Teff",59
"2004","Teff",30
"2005","Teff",52
"2006","Teff",49
"2007","Teff",59
"2008","Teff",54
"2009","Teff",37
"2010","Teff",60
"2011","Teff",57
"2012","Teff",51
"2013","Teff",66
"2014","Teff",78
"2015","Teff",48
"2016","Teff",55
"2017","Teff",71
"2018","Teff",83
"1983","Wheat",24
"1984","Wheat",20
"1985","Wheat",51
"1986","Wheat",57
"1987","Wheat",50
"1988","Wheat",74
"1989","Wheat",64
"1990","Wheat",29
"1991","Wheat",39
"1992","Wheat",54
"1993","Wheat",36
"1994","Wheat",57
"1995","Wheat",54
"1996","Wheat",56
"1997","Wheat",52
"1998","Wheat",84
"1999","Wheat",74
"2000","Wheat",63
"2001","Wheat",52
"2002","Wheat",35
"2003","Wheat",62
"2004","Wheat",30
"2005","Wheat",51
"2006","Wheat",49
"2007","Wheat",87
"2008","Wheat",54
"2009","Wheat",40
"2010","Wheat",83
"2011","Wheat",70
"2012","Wheat",59
"2013","Wheat",66
"2014","Wheat",77
"2015","Wheat",48
"2016","Wheat",71
"2017","Wheat",70
"2018","Wheat",83
