"","MIXEDET"
"1983",6.40263202541015
"1984",1.67320061954718
"1985",20.9802173034483
"1986",4.4920062875297
"1987",55.1172612952734
"1988",15.0453414369375
"1989",19.4341431649074
"1990",0.549545670412694
"1991",45.9506155953036
"1992",33.053678593394
"1993",7.97074418965212
"1994",12.7946191992051
"1995",17.4303534506357
"1996",17.6205558305173
"1997",13.7739250799974
"1998",4.5505492364486
"1999",22.485663275253
"2000",3.1
"2001",7.8
"2002",1.3
"2003",23
"2004",1.6
"2005",27.7
"2006",16.5
"2007",48.3
"2008",31.5
"2009",23.5
"2010",41.2
"2011",14.5
"2012",26.2
"2013",2.2
"2014",13.3
