"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,29.95,5.09,51.05,0,0,51.67,51.67
1984,16,6.18,21.66,58.58,80.34,0,23.8,104.14
1985,16,6.76,27.63,75,70.69,0,0,70.69
1986,16,41.7,50,75,0,0,0,0
1987,16,47.8,35.26,61.35,0,0,13.5,13.5
1988,16,9.94,25,75,17.64,0,0,17.64
1989,16,37.85,44.32,54.19,0,0,40.03,40.03
1990,16,10.72,10.72,47.26,4.62,0,65.7,70.31
1991,16,35.74,38.41,75,0,0,0,0
1992,16,8.04,12.57,52.02,49.31,0,48.08,97.39
1993,16,33.98,33.69,75,0,0,0,0
1994,16,32.61,47.66,75,0,0,0,0
1995,16,25,50,75,0,0,0,0
1996,16,69.14,44.14,71.84,0,0,0,0
1997,16,45.66,42.83,75,0,0,0,0
1998,16,29.97,50,75,0,0,0,0
1999,16,25,50,75,0,0,0,0
2000,16,27.48,44.08,69.08,0,0,0,0
2001,16,17.79,29.88,66.65,0,0,0,0
2002,16,5.21,12.86,53.86,96.57,0,41.25,137.81
2003,16,25,45.15,70.15,0,0,0,0
2004,16,11.25,29.46,68.21,0,0,0,0
2005,16,12.8,31.13,75,0,0,0,0
2006,16,35.96,50,68.25,0,0,0,0
2007,16,11.77,25,75,0,0,0,0
2008,16,22.98,25,75,0,0,0,0
2009,16,16.2,33.65,67.45,0,0,0,0
2010,16,55.11,42.89,75,0,0,0,0
2011,16,24.4,49.4,75,0,0,0,0
2012,16,16.17,41.17,75,0,0,0,0
2013,16,3.44,18.02,64.89,100,0,0.42,100.42
2014,16,1.87,25,75,100,0,0,100
2015,16,18.01,22.04,47.71,0,0,64.02,64.02
2016,16,47.04,50,75,0,0,0,0
2017,16,21.94,42.18,72.38,0,0,0,0
2018,16,38.91,44.06,73.33,0,0,0,0
2019,16,54.91,50,75,0,0,0,0
