"","MIXEDET"
"1983",-2.81874577099753
"1984",13.6661148742161
"1985",23.5821744720725
"1986",25.0511377375049
"1987",-10.5532681399875
"1988",29.1272680476935
"1989",34.3797904471685
"1990",-0.294611709268601
"1991",21.1409018376208
"1992",14.8711224626118
"1993",41.3764172240162
"1994",41.2246933186663
"1995",32.0023365517377
"1996",47.4916591793744
"1997",-4.09700766466731
"1998",70.5261752502389
"1999",50.8061505816129
"2000",8.2
"2001",3
"2002",2
"2003",28.8
"2004",1
"2005",59.7
"2006",46.9
"2007",66.6
"2008",39.4
"2009",35.2
"2010",57.2
"2011",25.6
"2012",28.6
"2013",29.5
"2014",28.5
