"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,3.74,1.38,35.06,100,0,6.06,106.06
1984,16,0.3,0.3,5.96,100,0,97.01,197.01
1985,16,0,17.61,39.95,100,0,0,100
1986,16,6.41,19.42,38.01,0,0,0,0
1987,16,1.24,2.61,11.48,100,0,79.75,179.75
1988,16,0,0,50,100,0,0,100
1989,16,0.47,7.34,57.34,100,0,0,100
1990,16,0,0,44.89,100,0,0,100
1991,16,16.39,7.66,27.71,0,0,29.02,29.02
1992,16,0,0,29.77,100,0,22.6,122.6
1993,16,7.9,7.86,46.42,0,0,0,0
1994,16,0,6.02,56.02,100,0,0,100
1995,16,3,2.1,27.1,100,0,30.94,130.94
1996,16,32.68,25,40.29,0,0,0,0
1997,16,22.09,35.09,75,0,0,0,0
1998,16,0,12.76,62.76,100,0,0,100
1999,16,0,9.03,59.03,100,0,0,100
2000,16,2.36,14.56,62.19,100,0,0,100
2001,16,5.99,5.99,45.64,0,0,0,0
2002,16,4.65,23.91,54.22,100,0,0,100
2003,16,9.07,14.63,39.56,0,0,0,0
2004,16,4.8,4.8,39.07,100,0,0,100
2005,16,0,0,41.82,100,0,0,100
2006,16,0,25,50,100,0,0,100
2007,16,7.98,25,75,0,0,0,0
2008,16,2.56,9.9,52.53,100,0,0,100
2009,16,0,25,55.65,100,0,0,100
2010,16,0,0,50,100,0,0,100
2011,16,0,6.13,52.74,100,0,0,100
2012,16,0,0,46.97,100,0,0,100
2013,16,0,0,50,100,0,0,100
2014,16,0,0,25,100,0,37.5,137.5
2015,16,0,6.71,32.31,100,0,14.66,114.66
2016,16,1.98,14.41,62.43,100,0,0,100
2017,16,0,25,45.56,100,0,0,100
2018,16,23.47,34.67,51.99,0,0,0,0
2019,16,4.58,6.72,36.4,100,0,1.87,101.87
