"year","crop","value"
"1983","Barley",98.51103
"1983","Maize",92.93019
"1983","Sorghum",88.14846
"1983","Teff",71.27747
"1983","Wheat",95.51898
"1984","Barley",100
"1984","Maize",95.37818
"1984","Sorghum",91.19473
"1984","Teff",70.05002
"1984","Wheat",93.48799
"1985","Barley",93.35036
"1985","Maize",91.74537
"1985","Sorghum",88.5274
"1985","Teff",84.14833
"1985","Wheat",94.73775
"1986","Barley",93.6929
"1986","Maize",85.96335
"1986","Sorghum",79.65643
"1986","Teff",94.08804
"1986","Wheat",94.53309
"1987","Barley",97.26264
"1987","Maize",97.37096
"1987","Sorghum",96.97703
"1987","Teff",95.71526
"1987","Wheat",97.6128
"1988","Barley",94.76681
"1988","Maize",89.59239
"1988","Sorghum",83.04474
"1988","Teff",92.86227
"1988","Wheat",95.05145
"1989","Barley",92.70914
"1989","Maize",91.2232
"1989","Sorghum",84.78423
"1989","Teff",76.38773
"1989","Wheat",97.46017
"1990","Barley",98.21215
"1990","Maize",61.95795
"1990","Sorghum",66.65079
"1990","Teff",81.69203
"1990","Wheat",94.84995
"1991","Barley",95.73814
"1991","Maize",88.74573
"1991","Sorghum",85.6721
"1991","Teff",72.42045
"1991","Wheat",92.26549
"1992","Barley",97.95762
"1992","Maize",73.84426
"1992","Sorghum",73.45914
"1992","Teff",82.22346
"1992","Wheat",96.447
"1993","Barley",97.17468
"1993","Maize",97.47363
"1993","Sorghum",96.83859
"1993","Teff",93.23557
"1993","Wheat",97.43747
"1994","Barley",96.1017
"1994","Maize",90.53239
"1994","Sorghum",90.27723
"1994","Teff",75.9842
"1994","Wheat",94.74426
"1995","Barley",91.79473
"1995","Maize",85.91891
"1995","Sorghum",90.60484
"1995","Teff",71.77586
"1995","Wheat",90.9189
"1996","Barley",94.78764
"1996","Maize",94.58982
"1996","Sorghum",89.75679
"1996","Teff",81.09203
"1996","Wheat",93.66962
"1997","Barley",94.99906
"1997","Maize",97.45158
"1997","Sorghum",95.31303
"1997","Teff",88.21095
"1997","Wheat",96.1591
"1998","Barley",97.04379
"1998","Maize",99.03588
"1998","Sorghum",97.18774
"1998","Teff",88.85146
"1998","Wheat",97.93354
"1999","Barley",97.72372
"1999","Maize",89.39911
"1999","Sorghum",85.46556
"1999","Teff",91.42516
"1999","Wheat",97.51174
"2000","Barley",100
"2000","Maize",81.61869
"2000","Sorghum",85.50209
"2000","Teff",84.97622
"2000","Wheat",98.75174
"2001","Barley",95.0367
"2001","Maize",64.18285
"2001","Sorghum",60.38602
"2001","Teff",65.70362
"2001","Wheat",88.34024
"2002","Barley",99.11022
"2002","Maize",71.43928
"2002","Sorghum",66.62175
"2002","Teff",82.17678
"2002","Wheat",95.26293
"2003","Barley",100
"2003","Maize",80.57001
"2003","Sorghum",76.10958
"2003","Teff",84.60997
"2003","Wheat",98.80373
"2004","Barley",94.73116
"2004","Maize",63.06536
"2004","Sorghum",60.48873
"2004","Teff",69.85386
"2004","Wheat",92.00037
"2005","Barley",100
"2005","Maize",91.46066
"2005","Sorghum",86.10881
"2005","Teff",89.28462
"2005","Wheat",99.28473
"2006","Barley",97.87593
"2006","Maize",96.27229
"2006","Sorghum",96.2504
"2006","Teff",88.93088
"2006","Wheat",98.52563
"2007","Barley",97.14034
"2007","Maize",76.92116
"2007","Sorghum",75.00641
"2007","Teff",86.99253
"2007","Wheat",97.07394
"2008","Barley",100
"2008","Maize",95.99338
"2008","Sorghum",90.30781
"2008","Teff",83.99516
"2008","Wheat",98.47507
"2009","Barley",93.20415
"2009","Maize",67.03564
"2009","Sorghum",61.78002
"2009","Teff",76.96292
"2009","Wheat",98.0511
"2010","Barley",98.57661
"2010","Maize",93.8763
"2010","Sorghum",94.99291
"2010","Teff",90.39064
"2010","Wheat",99.26333
"2011","Barley",94.19727
"2011","Maize",90.84628
"2011","Sorghum",86.18198
"2011","Teff",77.73703
"2011","Wheat",98.01488
"2012","Barley",99.00694
"2012","Maize",82.29548
"2012","Sorghum",78.87959
"2012","Teff",82.55044
"2012","Wheat",98.16847
"2013","Barley",99.70806
"2013","Maize",89.19141
"2013","Sorghum",88.1047
"2013","Teff",78.99478
"2013","Wheat",96.50581
"2014","Barley",95.44551
"2014","Maize",98.29244
"2014","Sorghum",97.7669
"2014","Teff",95.02225
"2014","Wheat",96.84698
"2015","Barley",99.12485
"2015","Maize",90.94585
"2015","Sorghum",87.92297
"2015","Teff",95.43468
"2015","Wheat",97.81181
"2016","Barley",95.42358
"2016","Maize",95.81067
"2016","Sorghum",94.69989
"2016","Teff",90.02062
"2016","Wheat",97.12495
"2017","Barley",96.72329
"2017","Maize",97.89087
"2017","Sorghum",93.43798
"2017","Teff",74.81747
"2017","Wheat",95.05951
"2018","Barley",99.36562
"2018","Maize",97.9051
"2018","Sorghum",94.78905
"2018","Teff",93.21953
"2018","Wheat",99.4603
