"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",9.915889,11.66729,12.30463,13.08323,13.38225,10.1415,12.07349,14.04164,12.19035,13.30468,14.1723,13.911,13.66772,18.12444,16.55383,12.06849,19.21617,16.99497,15.28056,16.72153,13.34898,15.27743,13.43697,13.95555,15.68456,13.78753,14.45661,15.19578,15.29048,14.33244,15.51381
"Feb",13.30031,10.97341,11.28526,12.36795,11.54533,9.923849,13.13083,10.9578,11.3635,14.96419,13.41239,14.45708,13.57302,17.2154,15.56275,13.96006,17.91846,18.75648,16.23419,19.44102,15.73959,15.22153,14.52267,15.46182,15.4874,16.31074,15.72953,18.13459,16.22654,17.12275,16.32407
"Mar",15.06728,18.39663,19.1887,18.35625,18.82059,14.73196,17.93213,15.64451,19.63894,18.58985,22.39116,21.18196,21.62335,22.30934,17.96484,19.10373,25.24349,24.69029,21.72855,25.38587,21.45149,22.79827,21.47738,21.10905,22.75613,22.41101,21.69334,23.34532,21.67307,23.75332,24.53955
"Apr",21.62025,22.68193,22.62199,17.89812,22.06312,20.03623,19.97278,18.13584,25.01846,20.71955,26.0932,23.72154,28.17866,29.37733,20.25698,24.0833,25.98927,26.08033,27.39609,26.06381,23.46049,26.69302,25.92183,25.83078,27.55998,24.87941,26.42183,27.1973,28.56016,28.0559,27.68999
"May",22.22799,20.93692,26.75976,32.65825,31.45073,29.849,25.73283,27.16903,27.09947,27.32821,32.57911,29.05161,27.31775,32.41986,29.27021,25.38415,31.86699,30.82843,32.40054,29.78472,30.02777,28.88218,29.44706,32.55264,27.34713,27.35283,28.71698,29.14034,30.7207,32.18926,29.5612
"Jun",28.16705,21.01608,29.94203,21.50002,33.16246,25.96255,28.14314,26.01892,30.57572,27.51,30.49172,25.48541,30.73226,27.06652,31.86218,28.46478,30.44464,32.6899,27.51398,28.3662,26.53862,26.91305,28.24216,29.27745,25.75159,24.2842,26.74292,29.19749,29.81783,33.46199,28.95428
"Jul",28.39885,30.08567,31.23372,34.39792,35.76172,18.06847,33.89486,26.71382,33.48006,31.25377,31.61461,20.4084,26.37912,38.49448,38.43066,32.77342,38.10287,40.30732,36.83054,33.80301,29.87936,31.67846,32.36175,30.81337,37.95543,28.16593,25.46322,33.98364,37.70243,43.17141,40.45803
"Aug",24.13346,36.1796,36.49327,47.36007,41.05104,39.59638,27.21174,41.92041,41.66807,26.67514,40.7567,37.8545,50.08548,46.22261,47.18121,36.4132,55.25984,45.92442,40.34553,41.54688,37.11455,41.60297,39.37565,40.72478,48.60078,41.92046,40.26701,45.91871,41.45497,52.54536,45.59149
"Sep",37.71693,34.26001,42.24981,42.82566,39.99716,43.15147,31.19169,31.18379,39.79966,41.79479,41.46339,44.61924,50.91031,51.13424,41.74895,50.94312,47.08555,41.05734,50.73164,43.42545,47.21883,37.81674,41.48079,47.67961,44.27416,43.827,52.98903,51.45822,45.83918,50.15343,49.83999
"Oct",29.14887,29.26726,29.46994,36.01424,29.23163,30.93192,32.12464,31.61168,34.31396,29.67921,29.59215,37.82386,37.2436,38.72192,31.29791,36.3336,35.75788,33.37772,39.02566,34.90007,37.26775,31.06939,34.76293,40.40058,39.49639,31.79214,33.02798,40.91901,38.80737,36.392,34.13533
"Nov",20.68481,18.36217,20.20578,22.13725,22.02896,20.22904,21.51071,17.53865,19.3963,21.91926,21.93582,22.7241,24.84665,23.38222,24.71667,25.74619,27.76092,25.22979,25.82723,22.10068,21.98619,20.14724,21.65286,24.86753,25.03582,21.45361,22.23263,24.53306,21.44452,22.76986,22.08804
"Dec",17.01035,13.67597,15.171,14.70215,15.44417,10.70469,13.75566,13.51404,15.12654,17.94831,16.34319,17.35487,18.58878,18.95447,17.93967,19.74088,20.98646,18.1856,19.59728,19.19676,15.48311,15.38274,17.65828,17.44054,19.15857,15.70454,17.50005,18.29267,18.30725,17.44748,16.98438
