"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",0.6366501,2.265626,1.910449,0.9239237,2.917683,2.249779,2.867493,3.335583,1.796696,2.959538,6.622423
"Feb",1.091475,2.214684,2.212782,2.800822,3.232293,3.886364,4.724492,4.105032,4.134293,3.978344,7.105673
"Mar",3.57093,6.744078,4.045171,4.806118,4.291762,6.654037,6.788682,5.998642,6.831459,6.005341,6.227437
"Apr",6.552592,10.27714,6.022905,7.68852,7.595408,7.78381,8.178203,9.23577,9.020824,8.586365,11.16668
"May",8.395305,9.194972,9.478708,8.899355,9.584368,9.648671,9.454483,13.04958,10.88491,13.37651,14.06699
"Jun",12.45581,10.74547,14.44981,10.69844,11.7065,15.07396,15.68819,13.38056,12.79953,13.35632,14.20476
"Jul",30.40673,21.6975,26.03848,23.18569,24.91564,29.33824,26.76085,25.59606,21.68166,28.50248,24.67456
"Aug",31.57781,27.71251,27.8628,32.55484,31.57874,33.10542,31.18892,32.34665,29.05653,35.93792,33.16287
"Sep",18.689,12.79916,10.61664,19.17407,16.32271,15.92967,12.73383,20.4133,13.50232,18.31999,21.13667
"Oct",3.668941,2.323687,1.799682,3.824995,3.833981,3.521809,3.423199,5.548424,3.333666,5.810852,6.491323
"Nov",1.586091,1.536578,1.440531,2.475284,2.317631,2.183825,2.626207,2.370754,3.473294,4.367554,5.65061
"Dec",2.084437,1.118175,1.241308,2.799192,1.611285,2.362105,2.569596,1.675239,3.415759,4.891412,6.605834
