"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,18,27.51,75,31.59,0,0,31.59
1984,16,50,30.53,32.39,0,0,84.29,84.29
1985,16,27.5,27.5,75,0,0,0,0
1986,16,35.48,50,75,0,0,0,0
1987,16,57.7,10.67,30.79,0,0,87.67,87.67
1988,16,61.26,45.6,75,0,0,0,0
1989,16,23.48,30.27,75,2.75,0,0,2.75
1990,16,25,50,75,0,0,0,0
1991,16,34.23,50,75,0,0,0,0
1992,16,5.2,6.95,54.62,98.94,0,36.98,135.92
1993,16,26.29,0,50,0,0,46.81,46.81
1994,16,49.99,50,75,0,0,0,0
1995,16,28.7,31.41,59.05,0,0,27.55,27.55
1996,16,62.24,37.24,75,0,0,0,0
1997,16,53.79,49.55,74.55,0,0,0,0
1998,16,28.09,50,75,0,0,0,0
1999,16,28.74,41.11,75,0,0,0,0
2000,16,29.9,36.63,75,0,0,0,0
2001,16,22.22,47.22,75,9.37,0,0,9.37
2002,16,41,42.67,75,0,0,0,0
2003,16,29.12,50,75,0,0,0,0
2004,16,20.97,22.55,54.38,15.94,0,37.49,53.43
2005,16,25,50,75,0,0,0,0
2006,16,9.97,25,75,73.82,0,0,73.82
2007,16,26.37,32.67,75,0,0,0,0
2008,16,53.93,42.59,75,0,0,0,0
2009,16,57.94,31.05,71.05,0,0,2.02,2.02
2010,16,22.64,7.91,57.91,7.16,0,29.98,37.14
2011,16,55.73,40.49,75,0,0,0,0
2012,16,28.55,42.51,75,0,0,0,0
2013,16,5.64,30.64,75,96.63,0,0,96.63
2014,16,25,50,73.71,0,0,0,0
2015,16,31.01,25,75,0,0,0,0
2016,16,29.53,38.69,75,0,0,0,0
2017,16,19.41,44.41,75,24.18,0,0,24.18
2018,16,48.33,28.82,74.54,0,0,0,0
2019,16,74.19,34.31,59.31,0,0,27,27
