T2,MODIS HAIN ET
Jul 2000,19.8
Jul 2001,19.6
Jul 2002,8.3
Jul 2003,44.7
Jul 2004,21.2
Jul 2005,39.3
Jul 2006,31.0
Jul 2007,67.2
Jul 2008,49.5
Jul 2009,36.0
Jul 2010,47.4
Jul 2011,17.7
Jul 2012,46.6
Jul 2013,9.1
Jul 2014,20.9
