"","MIXEDET"
"1983",7.60759780642525
"1984",38.2244566332333
"1985",31.0069989982361
"1986",21.1296258970298
"1987",6.7339457884523
"1988",31.0265771862122
"1989",48.1032872655364
"1990",28.6353201546037
"1991",18.6733708570502
"1992",19.8244658889371
"1993",32.0206527869673
"1994",60.4782383829534
"1995",50.3434731685973
"1996",44.9001854130061
"1997",12.5702942273934
"1998",56.6751458240589
"1999",78.5573359295578
"2000",29.9
"2001",23.1
"2002",17.4
"2003",30.9
"2004",15.1
"2005",50.7
"2006",54.3
"2007",69.8
"2008",61.9
"2009",32.6
"2010",70.7
"2011",40.9
"2012",33.1
"2013",43.5
"2014",39.2
