"","MIXEDET"
"1983",41.3822363380741
"1984",26.4758269635542
"1985",37.6183572142597
"1986",15.5014738215965
"1987",52.9747970579244
"1988",23.7648077209583
"1989",43.3021963565784
"1990",7.91674464878383
"1991",37.8081806185903
"1992",37.348030838259
"1993",26.1787282366978
"1994",2.56445238715059
"1995",27.2567668764592
"1996",43.692653033095
"1997",24.9357793524299
"1998",3.18236780645257
"1999",45.3507327148566
"2000",19.8
"2001",19.6
"2002",8.3
"2003",44.7
"2004",21.2
"2005",39.3
"2006",31
"2007",67.2
"2008",49.5
"2009",36
"2010",47.4
"2011",17.7
"2012",46.6
"2013",9.1
"2014",20.9
