Time,HainET30Y Evapotranspiration
Jul 1983,33.02371
Jul 1984,27.41133
Jul 1985,31.60658
Jul 1986,23.2794
Jul 1987,37.3884
Jul 1988,26.39061
Jul 1989,33.74659
Jul 1990,20.42369
Jul 1991,31.67805
Jul 1992,31.5048
Jul 1993,27.29947
Jul 1994,18.40851
Jul 1995,27.70536
Jul 1996,33.8936
Jul 1997,26.83149
Jul 1998,18.64116
Jul 1999,34.51788
Jul 2000,45.86781
Jul 2001,28.02815
Jul 2002,38.46775
Jul 2003,37.16079
Jul 2004,40.06556
Jul 2005,26.70917
Jul 2006,31.89249
Jul 2007,26.26384
Jul 2008,35.46542
Jul 2009,31.98822
Jul 2010,26.96545
Jul 2011,20.7639
Jul 2012,27.76663
Jul 2013,20.90889
