"time","crop","value"
"1983","Barley",71
"1984","Barley",62
"1985","Barley",95
"1986","Barley",100
"1987","Barley",87
"1988","Barley",96
"1989","Barley",71
"1990","Barley",61
"1991","Barley",76
"1992","Barley",76
"1993","Barley",98
"1994","Barley",95
"1995","Barley",84
"1996","Barley",95
"1997","Barley",89
"1998","Barley",100
"1999","Barley",94
"2000","Barley",93
"2001","Barley",74
"2002","Barley",61
"2003","Barley",100
"2004","Barley",56
"2005","Barley",66
"2006","Barley",98
"2007","Barley",90
"2008","Barley",99
"2009","Barley",91
"2010","Barley",88
"2011","Barley",78
"2012","Barley",100
"2013","Barley",96
"2014","Barley",100
"2015","Barley",100
"2016","Barley",99
"2017","Barley",98
"2018","Barley",100
"1983","Maize",75
"1984","Maize",38
"1985","Maize",53
"1986","Maize",69
"1987","Maize",77
"1988","Maize",56
"1989","Maize",50
"1990","Maize",40
"1991","Maize",54
"1992","Maize",69
"1993","Maize",95
"1994","Maize",84
"1995","Maize",72
"1996","Maize",86
"1997","Maize",82
"1998","Maize",87
"1999","Maize",52
"2000","Maize",59
"2001","Maize",47
"2002","Maize",40
"2003","Maize",67
"2004","Maize",36
"2005","Maize",43
"2006","Maize",76
"2007","Maize",54
"2008","Maize",79
"2009","Maize",69
"2010","Maize",75
"2011","Maize",63
"2012","Maize",77
"2013","Maize",54
"2014","Maize",97
"2015","Maize",63
"2016","Maize",77
"2017","Maize",76
"2018","Maize",90
"1983","Sorghum",77
"1984","Sorghum",40
"1985","Sorghum",53
"1986","Sorghum",70
"1987","Sorghum",80
"1988","Sorghum",58
"1989","Sorghum",52
"1990","Sorghum",46
"1991","Sorghum",56
"1992","Sorghum",70
"1993","Sorghum",97
"1994","Sorghum",84
"1995","Sorghum",73
"1996","Sorghum",89
"1997","Sorghum",85
"1998","Sorghum",88
"1999","Sorghum",67
"2000","Sorghum",64
"2001","Sorghum",53
"2002","Sorghum",42
"2003","Sorghum",68
"2004","Sorghum",38
"2005","Sorghum",45
"2006","Sorghum",76
"2007","Sorghum",54
"2008","Sorghum",81
"2009","Sorghum",69
"2010","Sorghum",75
"2011","Sorghum",65
"2012","Sorghum",79
"2013","Sorghum",56
"2014","Sorghum",97
"2015","Sorghum",64
"2016","Sorghum",78
"2017","Sorghum",78
"2018","Sorghum",90
"1983","Teff",50
"1984","Teff",46
"1985","Teff",65
"1986","Teff",86
"1987","Teff",77
"1988","Teff",69
"1989","Teff",56
"1990","Teff",47
"1991","Teff",57
"1992","Teff",55
"1993","Teff",71
"1994","Teff",65
"1995","Teff",58
"1996","Teff",66
"1997","Teff",73
"1998","Teff",79
"1999","Teff",66
"2000","Teff",74
"2001","Teff",57
"2002","Teff",47
"2003","Teff",83
"2004","Teff",43
"2005","Teff",49
"2006","Teff",79
"2007","Teff",65
"2008","Teff",77
"2009","Teff",62
"2010","Teff",62
"2011","Teff",66
"2012","Teff",79
"2013","Teff",67
"2014","Teff",75
"2015","Teff",77
"2016","Teff",70
"2017","Teff",68
"2018","Teff",77
"1983","Wheat",49
"1984","Wheat",46
"1985","Wheat",64
"1986","Wheat",85
"1987","Wheat",76
"1988","Wheat",68
"1989","Wheat",55
"1990","Wheat",47
"1991","Wheat",57
"1992","Wheat",55
"1993","Wheat",70
"1994","Wheat",64
"1995","Wheat",57
"1996","Wheat",65
"1997","Wheat",73
"1998","Wheat",78
"1999","Wheat",65
"2000","Wheat",73
"2001","Wheat",56
"2002","Wheat",46
"2003","Wheat",82
"2004","Wheat",42
"2005","Wheat",49
"2006","Wheat",78
"2007","Wheat",64
"2008","Wheat",76
"2009","Wheat",61
"2010","Wheat",62
"2011","Wheat",65
"2012","Wheat",77
"2013","Wheat",66
"2014","Wheat",74
"2015","Wheat",76
"2016","Wheat",69
"2017","Wheat",67
"2018","Wheat",76
