"","MIXEDET"
"1983",-2.09678216298082
"1984",2.18184286308563
"1985",37.833783517616
"1986",31.2440111150117
"1987",-11.866806098114
"1988",36.9004507875788
"1989",35.1173689768944
"1990",-2.41911445124972
"1991",3.91590623342049
"1992",30.3025687165343
"1993",38.6536169324617
"1994",48.7377914014819
"1995",47.0860501765575
"1996",39.3293145068972
"1997",24.2633526935909
"1998",67.3973094939993
"1999",60.1943019854343
"2000",19.7
"2001",12.3
"2002",3.7
"2003",31.3
"2004",5.5
"2005",36.7
"2006",55.4
"2007",69.9
"2008",56.6
"2009",35.1
"2010",68.4
"2011",33.2
"2012",35.9
"2013",42.2
"2014",36.3
