"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",9.592275,10.95581,13.30231,13.18444,12.3703,12.58722,11.63152,13.73628,9.681863,13.53787,14.54709,14.26852,14.26715,17.10464,15.26135,13.0398,15.33805,14.70225,14.29751,13.83087,13.92917,14.7857,13.1102,13.9076,15.99588,13.10928,14.45391,15.46726,14.92555,14.60441,15.91382
"Feb",12.56574,8.584415,11.66385,10.21579,11.69362,12.78951,14.85917,10.41505,11.83661,14.10198,12.07791,13.16376,12.36806,15.42262,13.97213,14.57706,13.88469,16.84184,15.40777,17.89671,14.07104,12.6239,13.27026,14.01884,15.10754,14.54134,13.56937,16.31522,16.04424,16.00963,15.99008
"Mar",16.06925,17.2604,16.81174,14.21805,15.55962,13.23526,20.66527,17.16766,18.50528,18.42805,20.54582,21.46598,20.59167,18.32598,15.84584,18.88557,21.61137,21.59867,18.95812,22.62132,20.26911,19.73746,21.11428,20.12554,21.11206,19.02845,21.08965,20.92373,21.47319,23.58055,24.48457
"Apr",19.15015,19.95475,20.1061,17.87623,18.67081,18.54867,20.84707,15.36642,22.55208,19.81491,24.77879,23.68172,28.07242,26.92262,20.12968,21.4648,24.67389,24.55166,24.63979,23.47187,23.34355,24.50657,24.45069,21.87127,25.35635,20.70483,24.79499,24.89923,26.68025,28.00811,28.02934
"May",22.62246,22.21463,27.70831,31.24351,30.79579,29.85052,27.31379,26.85521,25.86042,27.5468,35.19101,31.57748,31.04631,38.35068,28.91726,30.65865,35.06156,33.84217,30.91572,30.08003,31.05015,29.13766,31.12005,33.79879,28.39164,30.36312,27.84186,29.71602,29.40476,32.46231,27.61183
"Jun",30.53683,26.26205,36.23055,27.4948,38.80882,30.42746,32.76549,29.80796,31.96957,30.89876,35.05018,31.66522,35.51498,33.7774,35.49102,33.27927,35.59577,37.3247,34.49531,33.15345,32.69944,28.51637,32.38714,33.88351,31.09119,31.12028,31.20517,33.00867,29.59427,32.84078,26.5337
"Jul",40.57878,41.88838,39.54516,41.98757,43.1067,25.48592,42.44757,35.68061,40.21133,35.9296,42.0115,28.04092,33.20286,45.94505,41.37446,39.76039,45.96428,50.41184,46.69281,43.02745,38.89946,40.59495,38.45932,37.18445,40.25061,41.64432,35.97404,39.91482,39.68574,45.49276,39.08114
"Aug",35.30945,47.31342,47.57424,54.77657,47.27546,43.44732,35.48344,53.07809,46.81943,31.58648,49.61319,45.87937,58.455,48.068,55.30558,41.58048,61.89485,57.04114,53.00758,49.38202,47.37451,52.59726,47.31652,47.95549,53.02287,54.45006,48.20279,55.903,43.94252,53.22689,45.52397
"Sep",45.94773,42.46007,47.15145,47.75701,46.80561,46.90188,37.79346,40.14451,44.60429,47.15313,47.34488,46.73341,51.78807,50.17439,46.71506,53.2023,50.59745,45.16382,52.39219,46.73928,52.13426,45.10394,46.74613,48.73584,47.5107,48.39798,50.20942,53.10077,44.90364,47.99078,51.55481
"Oct",30.73342,29.40675,29.67215,35.43099,30.47021,29.6314,31.863,31.48105,33.43188,30.14046,30.74901,33.88226,35.05031,33.00634,30.1665,38.14885,36.08857,35.22997,38.20422,33.48172,35.14828,30.15736,32.3017,38.2201,35.44659,29.27447,30.91552,38.01495,36.92985,35.675,32.77662
"Nov",19.62933,17.49921,19.73767,19.91474,20.24499,19.21811,18.47741,15.37364,17.10762,19.84143,21.0372,20.88295,20.06941,20.67904,23.95878,22.57467,23.80605,23.61335,22.58926,19.72204,19.73428,18.5776,20.40074,23.35276,21.68942,20.66962,20.46739,21.35501,19.20795,21.99206,21.3743
"Dec",15.40265,12.41795,15.30843,13.78498,14.75818,11.67651,12.86928,12.1601,14.00258,17.56685,15.70847,14.90514,16.62554,16.51858,16.82267,16.90983,19.43889,18.57425,17.59355,18.8243,13.48691,13.86223,16.15014,16.16451,16.19591,15.94103,16.61958,16.56663,17.19549,17.38986,16.35535
