"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",1.578159,1.381937,1.471306,1.732668,2.155174,1.666583,1.895771,2.026567,1.576547,4.675077,2.933608
"Feb",2.418531,1.664717,2.081514,2.778921,2.274211,2.900242,2.55819,3.155112,2.375121,3.24463,4.675487
"Mar",3.520247,3.734428,3.99397,4.205954,3.132479,4.336942,3.752552,5.902672,4.690236,4.518646,4.962666
"Apr",7.537146,5.681813,6.170224,9.028623,6.191325,7.140409,6.633156,6.772586,6.805455,8.926059,7.828347
"May",7.20846,8.43392,7.727888,10.12039,8.164298,10.80722,8.059441,11.22731,9.135311,15.483,15.31773
"Jun",10.39461,9.332066,9.64409,8.857984,9.631124,11.26841,12.15207,10.80154,9.838578,11.56225,12.0076
"Jul",28.88631,17.42947,21.66281,18.36588,19.68786,23.87639,19.89286,22.02974,17.41319,23.71354,18.65642
"Aug",25.36968,19.69564,21.84296,24.50398,23.38818,24.93127,21.74319,24.522,21.14219,27.37554,22.90409
"Sep",14.14949,8.913143,8.838961,14.67726,12.64673,12.89161,8.746896,16.63452,9.865284,13.4051,14.16183
"Oct",2.748231,1.677224,2.219097,2.772423,3.361251,3.0292,2.560965,4.958179,2.015951,4.278238,3.34185
"Nov",0.4592531,3.467375,0.7749602,1.033069,1.67223,2.138857,2.103655,2.848784,2.116875,1.792771,2.063132
"Dec",0.9011723,1.300822,1.348457,1.464314,1.17087,2.322496,1.897096,2.562006,3.360857,1.950417,2.40537
