"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.271958,0.1495761,0.2056705,0.2789637,0.2930667,0.3204986,0.2600105,0.1786789,0.2336084,0.3068459,0.1899476,0.2371252,0.2599346,0.301529,0.249716,0.3372414,0.3138974,0.2409095,0.2050933,0.2990192,0.3089222,0.250428,0.2381648,0.2776315,0.3174566,0.3072102
"Aug",0.3775226,0.324577,0.2947337,0.4040495,0.3289216,0.4146026,0.2660013,0.3647292,0.3342377,0.3789965,0.29556,0.3333915,0.3565026,0.4676213,0.4605741,0.3630521,0.3778605,0.3515659,0.3921565,0.3886692,0.4720335,0.4181066,0.4145572,0.387493,0.4263052,0.4003385
"Sep",0.4229376,0.3847951,0.3579887,0.3767202,0.3514913,0.4281561,0.3957702,0.4560534,0.3147411,0.3664399,0.4165043,0.4339997,0.3384621,0.4908197,0.4269106,0.3560651,0.3823392,0.4799692,0.4920651,0.4165608,0.4913065,0.4215979,0.4494827,0.3859954,0.4318936,0.4346089
"Oct",0.3833947,0.3848009,0.363882,0.3219407,0.30104,0.3253285,0.3398629,0.341959,0.3325564,0.3239137,0.3340345,0.3925148,0.3033406,0.4650855,0.3477528,0.3137898,0.3260206,0.37184,0.385615,0.3168256,0.3540888,0.3274021,0.3544027,0.3138289,0.3329064,0.348903
"Nov",0.3069659,0.3280992,0.3129591,0.2358584,0.2581326,0.2818444,0.3144712,0.3053531,0.3091008,0.2789595,0.2903217,0.3103561,0.2766733,0.3600125,0.3098179,0.2867045,0.3381206,0.3432584,0.3608005,0.3456969,0.3522894,0.2842455,0.3148855,0.2698841,0.29475,0.3173612
"Dec",0.2612677,0.2937439,0.2678168,0.2234096,0.2437655,0.2634657,0.2550956,0.3078132,0.2636054,0.2622842,0.2678629,0.3096467,0.2673543,0.3042808,0.2745556,0.2586553,0.3716508,0.3106715,0.2983488,0.327204,0.3123486,0.2701308,0.3050714,0.2573448,0.2753926,0.3147798
"Jan",,0.2014199,0.2592053,0.2321952,0.2427102,0.2205607,0.2476323,0.2576728,0.2822465,0.2592853,0.2431058,0.2342056,0.3198417,0.2441043,0.2722542,0.2591823,0.2385539,0.2978348,0.2799099,0.2710027,0.2995594,0.2754617,0.2932541,0.2548845,0.2549452,0.2468571
"Feb",,0.202292,0.2358578,0.2435823,0.2252296,0.2011369,0.2270585,0.2564802,0.2419151,0.210198,0.2294843,0.2217237,0.2749868,0.194956,0.2394498,0.2303433,0.2384998,0.2610109,0.2831089,0.2623574,0.2497206,0.2671531,0.2550654,0.2419696,0.2317031,0.222953
"Mar",,0.2343598,0.193729,0.227997,0.2169386,0.2078956,0.1899538,0.2521655,0.231713,0.221072,0.2244452,0.2409645,0.2400994,0.1830811,0.2423852,0.2242634,0.2436928,0.2455119,0.2426076,0.2361637,0.2383837,0.2386227,0.2718119,0.2378504,0.2428789,0.2236333
"Apr",,0.2817088,0.2290144,0.2279675,0.2171102,0.2191401,0.2337941,0.2379633,0.2716533,0.2365377,0.2302878,0.2313432,0.2330452,0.2040082,0.2647106,0.2832902,0.2823224,0.2491592,0.2162944,0.2106084,0.2811095,0.3192343,0.2350137,0.2394135,0.2469407,0.2509525
"May",,0.3044458,0.2585272,0.1919553,0.2447917,0.2616023,0.227228,0.2238671,0.2566968,0.2212068,0.2040614,0.24569,0.3112278,0.2458648,0.3057739,0.2786681,0.2298392,0.2833438,0.2052061,0.2813686,0.3143329,0.2740799,0.2276395,0.2425831,0.2459732,0.2760869
"Jun",,0.2268343,0.3249929,0.1789064,0.2459396,0.2217834,0.2675353,0.2044365,0.224415,0.1917564,0.2156523,0.2110888,0.2552576,0.1960033,0.2781952,0.291752,0.2809046,0.2472041,0.1892529,0.2259644,0.255768,0.2298375,0.2070851,0.195933,0.2325002,0.2452077
