"year","MIXEDET"
1983,30.2737000183132
1984,32.382993562495
1985,28.6089107749282
1986,32.5427528986643
1987,34.3452679292844
1988,5.96454290069069
1989,33.2836470879768
1990,22.3845137329554
1991,29.6818705186114
1992,22.7855468725139
1993,32.581295502904
1994,10.0797269304588
1995,18.3937516078056
1996,38.9168266732736
1997,31.5552536890787
1998,28.9555687235493
1999,38.9477992716659
2000,22.59186
2001,25.56318
2002,16.50001
2003,34.34625
2004,26.02836
2005,31.62767
2006,32.06479
2007,41.89019
2008,20.67325
2009,29.59152
2010,45.58123
2011,25.08245
2012,30.21935
2013,27.8615418146569
2014,27.54576
