"","MIXEDET"
"1983",19.6983633124604
"1984",0.558716513891525
"1985",24.0270537088125
"1986",26.3162330824187
"1987",19.8780051150838
"1988",18.7062847748053
"1989",26.4970065484017
"1990",-15.1350446217451
"1991",5.85653999771029
"1992",14.2812078785118
"1993",45.256394946696
"1994",-3.52951492997549
"1995",22.9792505064141
"1996",20.2826918347766
"1997",25.891644696746
"1998",29.7901859478136
"1999",14.6653880776706
"2000",4.1
"2001",9.2
"2002",1.7
"2003",24.5
"2004",4.6
"2005",23.5
"2006",18.7
"2007",47.7
"2008",27.7
"2009",21.6
"2010",40.5
"2011",12
"2012",28.2
"2013",2.2
"2014",17.1
