"","MIXEDET"
"1983",66.5858423212298
"1984",39.2723290502964
"1985",50.1483980098447
"1986",47.4012963432927
"1987",64.9333250070169
"1988",25.9731258750149
"1989",37.0341731990483
"1990",21.9105859014473
"1991",42.7098958176934
"1992",67.6730802487639
"1993",38.858129054451
"1994",-13.7215839630532
"1995",30.32375770921
"1996",76.4920184884703
"1997",39.9172001962977
"1998",20.7864511318431
"1999",49.0228137214449
"2000",39
"2001",22.8
"2002",11.8
"2003",56.9
"2004",29
"2005",66
"2006",36.9
"2007",81.5
"2008",74.5
"2009",47.4
"2010",53.4
"2011",27.2
"2012",61.5
"2013",7.3
"2014",29.3
