Time,NDVI
Jul 1981,0.4068065
Jul 1982,0.1744194
Jul 1983,0.3077097
Jul 1984,0.3636613
Jul 1985,0.3784516
Jul 1986,0.5983871
Jul 1987,0.1930161
Jul 1988,0.3347742
Jul 1989,0.3752581
Jul 1990,0.5160162
Jul 1991,0.3707258
Jul 1992,0.2460323
Jul 1993,0.2217258
Jul 1994,0.2542581
Jul 1995,0.3736129
Jul 1996,0.5004678
Jul 1997,0.5518226
Jul 1998,0.2968226
Jul 1999,0.465242
Jul 2000,0.4348871
Jul 2001,0.4947742
Jul 2002,0.2444032
Jul 2003,0.3900968
Jul 2004,0.392371
Jul 2005,0.4119517
Jul 2006,0.3693549
