Time,NDVI
Jul 1981,0.2225968
Jul 1982,0.2488387
Jul 1983,0.312
Jul 1984,0.4478387
Jul 1985,0.3771774
Jul 1986,0.4628549
Jul 1987,0.4457259
Jul 1988,0.3491452
Jul 1989,0.3800484
Jul 1990,0.3939033
Jul 1991,0.3898548
Jul 1992,0.3006774
Jul 1993,0.2716129
Jul 1994,0.3425968
Jul 1995,0.3477097
Jul 1996,0.4631613
Jul 1997,0.4336774
Jul 1998,0.3741613
Jul 1999,0.3440161
Jul 2000,0.3260323
Jul 2001,0.4755807
Jul 2002,0.3421452
Jul 2003,0.2786613
Jul 2004,0.2912903
Jul 2005,0.2181936
Jul 2006,0.3043871
