"","MIXEDET"
"1983",50.9939054423229
"1984",5.9440654436485
"1985",25.3227053580877
"1986",22.1885940918387
"1987",61.3071539193623
"1988",27.528958758356
"1989",15.6112602760518
"1990",5.1156541913158
"1991",42.9794865457041
"1992",38.2939091257242
"1993",45.6777619650782
"1994",20.2261537446449
"1995",34.9741797070689
"1996",36.4329823446283
"1997",36.931117885065
"1998",23.5522878046944
"1999",41.8551517489533
"2000",12.5
"2001",16.4
"2002",7.6
"2003",42.8
"2004",18.2
"2005",35.5
"2006",30.7
"2007",66.2
"2008",51
"2009",30.7
"2010",51
"2011",20.3
"2012",48
"2013",7.7
"2014",21.1
