"","MIXEDET"
"1983",6.8824040980794
"1984",23.212519525493
"1985",38.8964940062523
"1986",30.0910566855918
"1987",12.5738373105665
"1988",12.6072999754554
"1989",45.3115112897413
"1990",2.59700574182672
"1991",4.17708665087688
"1992",30.8906435460161
"1993",48.5519634058785
"1994",70.8245322766878
"1995",58.7660147871743
"1996",41.9802175848366
"1997",32.3992101512246
"1998",63.2852498437169
"1999",59.2801473631306
"2000",36.3
"2001",17.6
"2002",5.9
"2003",35
"2004",20.5
"2005",52.3
"2006",63.2
"2007",80.8
"2008",70.3
"2009",33.7
"2010",71.2
"2011",38.4
"2012",29
"2013",44.9
"2014",30.2
