"","MIXEDVEGg"
"1981",0.145758848329229
"1982",0.101315880131097
"1983",0.101443091818425
"1984",0.106230860194024
"1985",0.109126657656802
"1986",0.125990229555374
"1987",0.107334121513446
"1988",0.103392896654705
"1989",0.106284062241143
"1990",0.11776312808575
"1991",0.106998747854158
"1992",0.106748956355841
"1993",0.107563105418672
"1994",0.114416317797117
"1995",0.11666680741075
"1996",0.123015804916222
"1997",0.120931847748192
"1998",0.109499028966107
"1999",0.1141665262988
"2000",0.1078768
"2001",0.1286214
"2002",0.1084241
"2003",0.1066691
"2004",0.1010394
"2005",0.1184728
"2006",0.1188148
"2007",0.1222676
"2008",0.1116468
"2009",0.08910296
"2010",0.1185629
"2011",0.1217609
"2012",0.1291039
"2013",0.1231658
"2014",0.1136003
"2015",0.1039443
"2016",0.1154059
"2017",0.1263119
"2018",0.1087508
"2019",0.129383
