"","MIXEDET"
"1983",41.9162015943614
"1984",13.6391765439834
"1985",17.8107720279199
"1986",24.1459538995557
"1987",39.1351379384038
"1988",20.5422167558264
"1989",40.8316735955302
"1990",-1.77891812008943
"1991",24.6420695978699
"1992",43.248897815645
"1993",43.478645961495
"1994",2.64101727809192
"1995",15.6567513258062
"1996",27.0102390201092
"1997",20.0070043836054
"1998",26.815197143756
"1999",45.3037051890553
"2000",18.2
"2001",11.3
"2002",3
"2003",29.9
"2004",30.8
"2005",38.1
"2006",30.4
"2007",59.1
"2008",37.8
"2009",27.9
"2010",45.1
"2011",15
"2012",38.2
"2013",6
"2014",18.9
