"","MIXEDET"
"1983",1.08602613869252
"1984",5.66887475375766
"1985",48.4058976291173
"1986",30.2341130698706
"1987",14.1652067484241
"1988",31.7975072543251
"1989",24.1622405910706
"1990",18.1548396430207
"1991",2.76264177704821
"1992",35.1452715522623
"1993",37.3878650641767
"1994",54.0587213325355
"1995",50.6158186643344
"1996",49.4951527136204
"1997",21.24449137505
"1998",65.6150733872961
"1999",62.0616989290742
"2000",44.1
"2001",16
"2002",4
"2003",36.1
"2004",10.4
"2005",34.6
"2006",51.7
"2007",72.1
"2008",57.7
"2009",37.5
"2010",71.1
"2011",24.3
"2012",40.5
"2013",48.7
"2014",54.8
