Time,HainET30Y Evapotranspiration
Jul 1983,32.06806
Jul 1984,16.5934
Jul 1985,23.24998
Jul 1986,22.17341
Jul 1987,35.61067
Jul 1988,24.00783
Jul 1989,19.91409
Jul 1990,16.30884
Jul 1991,29.3151
Jul 1992,27.7056
Jul 1993,30.24196
Jul 1994,21.49931
Jul 1995,26.56527
Jul 1996,27.06637
Jul 1997,27.23748
Jul 1998,22.64184
Jul 1999,28.92889
Jul 2000,37.60898
Jul 2001,29.14713
Jul 2002,29.48107
Jul 2003,30.08965
Jul 2004,36.61306
Jul 2005,27.784
Jul 2006,23.42269
Jul 2007,18.02324
Jul 2008,16.94654
Jul 2009,17.34937
Jul 2010,30.52779
Jul 2011,17.73357
Jul 2012,25.50735
Jul 2013,13.34047
