Time,HainET30Y Evapotranspiration
Jul 1983,27.66083
Jul 1984,16.13321
Jul 1985,23.32391
Jul 1986,30.00715
Jul 1987,31.6665
Jul 1988,22.48014
Jul 1989,18.65656
Jul 1990,12.67705
Jul 1991,26.87071
Jul 1992,27.58391
Jul 1993,19.89549
Jul 1994,23.78583
Jul 1995,22.44205
Jul 1996,23.13908
Jul 1997,24.23018
Jul 1998,24.31193
Jul 1999,28.08334
Jul 2000,34.93021
Jul 2001,26.23304
Jul 2002,22.98679
Jul 2003,25.72868
Jul 2004,30.85248
Jul 2005,20.85766
Jul 2006,18.79518
Jul 2007,18.10243
Jul 2008,21.85211
Jul 2009,13.92537
Jul 2010,20.30857
Jul 2011,20.53632
Jul 2012,24.37778
Jul 2013,17.53065
