"","MIXEDET"
"1983",2.54482586752559
"1984",5.56669598254162
"1985",38.7794169397371
"1986",48.655069130281
"1987",18.2720958426723
"1988",39.5783633416791
"1989",23.728484991959
"1990",9.39160813302623
"1991",7.14239789931789
"1992",34.109873456973
"1993",47.8557876310505
"1994",69.6318615285895
"1995",63.0733373972968
"1996",35.5803175921158
"1997",42.1125179697421
"1998",51.0348556074236
"1999",80.4725939101268
"2000",40.6
"2001",32.1
"2002",4.9
"2003",46.9
"2004",11.1
"2005",25.3
"2006",38.9
"2007",81
"2008",69.4
"2009",31
"2010",60.4
"2011",53.5
"2012",53.6
"2013",33.1
"2014",58.4
