"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,27.06,2.63,41.59,0,0,38.24,38.24
1984,16,5.31,15.29,57.66,0,0,0,0
1985,16,0,25,75,100,0,0,100
1986,16,36.2,47.11,70.79,0,0,0,0
1987,16,31.83,28.59,36.91,0,0,59.48,59.48
1988,16,4.55,25,75,100,0,0,100
1989,16,2.66,14.55,64.55,100,0,0,100
1990,16,0,0,50,100,0,0,100
1991,16,7.44,0,34.81,0,0,69.05,69.05
1992,16,0,7.48,57.48,100,0,0,100
1993,16,25.55,25,75,0,0,0,0
1994,16,25,25,75,0,0,0,0
1995,16,0,22.6,72.6,100,0,0,100
1996,16,25,18.49,43.49,0,0,29.61,29.61
1997,16,45.18,43.48,52.23,0,0,0,0
1998,16,19.89,25,75,0,0,0,0
1999,16,0,25,75,100,0,0,100
2000,16,28.63,28.66,53.66,0,0,0,0
2001,16,9,0,49.18,0,0,3.71,3.71
2002,16,4.61,9.24,44.03,100,0,27.15,127.15
2003,16,15.07,32.72,59.59,0,0,0,0
2004,16,8.36,8.36,50,0,0,0,0
2005,16,11.35,36.35,59.67,0,0,0,0
2006,16,22.97,31.25,58.28,0,0,0,0
2007,16,8.25,31.06,75,0,0,0,0
2008,16,0,21.96,71.96,100,0,0,100
2009,16,7.65,25.56,75,0,0,0,0
2010,16,0,3.68,52.65,100,0,0,100
2011,16,25,15.23,45.11,0,0,22.21,22.21
2012,16,21.41,46.41,61.83,0,0,0,0
2013,16,4.31,20.79,66.48,100,0,0,100
2014,16,0,25,75,100,0,0,100
2015,16,0,24.89,70.25,100,0,0,100
2016,16,7.5,17.53,67.53,0,0,0,0
2017,16,0,25,73.17,100,0,0,100
2018,16,4.87,25,75,100,0,0,100
2019,16,47.14,30.61,43.92,0,0,27.61,27.61
