T2,MODIS HAIN ET
Oct 2000,32.4
Oct 2001,19.8
Oct 2002,5.8
Oct 2003,53.8
Oct 2004,33.5
Oct 2005,39.6
Oct 2006,69.2
Oct 2007,67.9
Oct 2008,65.2
Oct 2009,33.4
Oct 2010,63.6
Oct 2011,61.6
Oct 2012,58.6
Oct 2013,61.2
Oct 2014,66.7
