Time,HainET30Y Evapotranspiration
Jul 1983,21.95446
Jul 1984,14.45273
Jul 1985,19.63932
Jul 1986,16.93822
Jul 1987,22.17519
Jul 1988,17.97133
Jul 1989,18.35486
Jul 1990,17.51637
Jul 1991,27.26002
Jul 1992,21.73336
Jul 1993,19.06566
Jul 1994,19.82174
Jul 1995,19.24194
Jul 1996,18.96247
Jul 1997,19.37677
Jul 1998,18.5823
Jul 1999,20.77668
Jul 2000,26.64644
Jul 2001,19.37895
Jul 2002,24.4985
Jul 2003,21.50903
Jul 2004,27.43996
Jul 2005,20.07972
Jul 2006,19.27382
Jul 2007,22.41098
Jul 2008,21.38742
Jul 2009,13.49438
Jul 2010,18.77429
Jul 2011,15.79299
Jul 2012,22.45654
Jul 2013,12.82087
