"year","crop","value"
"1983","Barley",94.03999
"1983","Maize",76.81496
"1983","Sorghum",78.34261
"1983","Teff",64.94384
"1983","Wheat",64.83256
"1984","Barley",90.15347
"1984","Maize",73.32302
"1984","Sorghum",75.4189
"1984","Teff",67.52897
"1984","Wheat",67.5218
"1985","Barley",98.05587
"1985","Maize",86.72147
"1985","Sorghum",85.88126
"1985","Teff",81.88737
"1985","Wheat",81.77625
"1986","Barley",95.20023
"1986","Maize",84.91214
"1986","Sorghum",84.2235
"1986","Teff",95.01635
"1986","Wheat",94.97642
"1987","Barley",99.97601
"1987","Maize",97.47211
"1987","Sorghum",97.53602
"1987","Teff",99.41617
"1987","Wheat",99.51238
"1988","Barley",97.81644
"1988","Maize",91.84125
"1988","Sorghum",91.64079
"1988","Teff",96.08922
"1988","Wheat",96.00929
"1989","Barley",99.81589
"1989","Maize",91.61629
"1989","Sorghum",92.15988
"1989","Teff",87.9921
"1989","Wheat",87.39279
"1990","Barley",98.6881
"1990","Maize",68.96888
"1990","Sorghum",63.56849
"1990","Teff",86.35336
"1990","Wheat",85.42574
"1991","Barley",98.40007
"1991","Maize",89.55939
"1991","Sorghum",90.36737
"1991","Teff",88.83917
"1991","Wheat",87.87963
"1992","Barley",92.51388
"1992","Maize",75.60089
"1992","Sorghum",76.88907
"1992","Teff",70.77764
"1992","Wheat",70.44231
"1993","Barley",96.45614
"1993","Maize",97.5919
"1993","Sorghum",97.1198
"1993","Teff",87.79356
"1993","Wheat",87.25798
"1994","Barley",97.23982
"1994","Maize",93.48823
"1994","Sorghum",93.16005
"1994","Teff",79.11931
"1994","Wheat",78.96027
"1995","Barley",96.41588
"1995","Maize",86.52043
"1995","Sorghum",84.95214
"1995","Teff",76.3054
"1995","Wheat",76.05815
"1996","Barley",97.35983
"1996","Maize",96.71952
"1996","Sorghum",96.87953
"1996","Teff",88.02311
"1996","Wheat",87.11176
"1997","Barley",95.98363
"1997","Maize",94.13602
"1997","Sorghum",93.08799
"1997","Teff",85.83968
"1997","Wheat",84.92023
"1998","Barley",98.17622
"1998","Maize",97.05581
"1998","Sorghum",96.91967
"1998","Teff",83.80119
"1998","Wheat",83.34579
"1999","Barley",99.13631
"1999","Maize",69.0089
"1999","Sorghum",69.72099
"1999","Teff",86.82491
"1999","Wheat",86.07336
"2000","Barley",99.95997
"2000","Maize",71.33495
"2000","Sorghum",77.72748
"2000","Teff",84.31868
"2000","Wheat",84.16763
"2001","Barley",98.12048
"2001","Maize",62.86649
"2001","Sorghum",63.93777
"2001","Teff",69.14429
"2001","Wheat",69.15317
"2002","Barley",87.09109
"2002","Maize",55.97846
"2002","Sorghum",58.04237
"2002","Teff",67.89114
"2002","Wheat",67.83575
"2003","Barley",99.25613
"2003","Maize",77.97026
"2003","Sorghum",78.62591
"2003","Teff",90.22452
"2003","Wheat",89.50504
"2004","Barley",80.04592
"2004","Maize",51.15911
"2004","Sorghum",53.17506
"2004","Teff",60.63853
"2004","Wheat",60.15097
"2005","Barley",99.90408
"2005","Maize",74.31151
"2005","Sorghum",75.65501
"2005","Teff",88.20844
"2005","Wheat",87.33704
"2006","Barley",98.31972
"2006","Maize",87.36191
"2006","Sorghum",87.71373
"2006","Teff",85.6646
"2006","Wheat",85.06513
"2007","Barley",99.01617
"2007","Maize",76.3432
"2007","Sorghum",76.46317
"2007","Teff",90.25613
"2007","Wheat",89.61678
"2008","Barley",99.26395
"2008","Maize",84.24737
"2008","Sorghum",87.23934
"2008","Teff",82.56876
"2008","Wheat",82.45771
"2009","Barley",98.94363
"2009","Maize",70.79935
"2009","Sorghum",71.22304
"2009","Teff",82.31968
"2009","Wheat",82.05647
"2010","Barley",99.86412
"2010","Maize",92.50391
"2010","Sorghum",92.94399
"2010","Teff",93.58489
"2010","Wheat",92.68128
"2011","Barley",99.61572
"2011","Maize",90.42468
"2011","Sorghum",91.75211
"2011","Teff",81.64749
"2011","Wheat",81.52837
"2012","Barley",99.95197
"2012","Maize",77.04729
"2012","Sorghum",77.52727
"2012","Teff",79.5532
"2012","Wheat",78.82553
"2013","Barley",99.98401
"2013","Maize",85.81649
"2013","Sorghum",85.71268
"2013","Teff",80.93526
"2013","Wheat",80.69608
"2014","Barley",99.40002
"2014","Maize",99.50411
"2014","Sorghum",99.50411
"2014","Teff",94.61668
"2014","Wheat",93.46485
"2015","Barley",99.96004
"2015","Maize",84.40901
"2015","Sorghum",87.7288
"2015","Teff",95.23373
"2015","Wheat",94.99387
"2016","Barley",99.61601
"2016","Maize",91.4473
"2016","Sorghum",91.94334
"2016","Teff",93.78395
"2016","Wheat",92.72843
"2017","Barley",99.46384
"2017","Maize",97.0481
"2017","Sorghum",96.95212
"2017","Teff",78.0319
"2017","Wheat",77.89685
"2018","Barley",100
"2018","Maize",92.59198
"2018","Sorghum",93.86392
"2018","Teff",97.40755
"2018","Wheat",96.64803
