"year","MIXEDET"
1983,44.8586866077395
1984,46.78527072018
1985,45.3270961770896
1986,33.2662760669741
1987,58.0074359180399
1988,18.4612055386622
1989,45.9091841500049
1990,32.0416442385796
1991,29.9389297484315
1992,55.9856520715983
1993,56.34176666719
1994,30.8366768767268
1995,32.3402081542022
1996,40.7674894029314
1997,49.0775150938801
1998,35.733662654234
1999,44.2559064775687
2000,32.72515
2001,36.25568
2002,23.81936
2003,50.22999
2004,37.23664
2005,55.20687
2006,45.77185
2007,63.98883
2008,44.00124
2009,49.85276
2010,56.41202
2011,34.94198
2012,49.22959
2013,63.6751699675644
2014,45.96551
