"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",4.074772,5.226201,5.923264,5.705274,6.036527,5.742115,4.218834,4.77899,3.352926,3.605922,6.964474
"Feb",6.293913,6.082273,7.267469,7.393925,7.64452,8.534849,7.863572,7.413143,6.435745,6.230292,7.113776
"Mar",9.145626,10.24689,8.027646,10.63228,8.717585,11.47681,9.737566,7.942208,9.0217,8.712235,7.315896
"Apr",9.148234,12.07246,9.436949,9.645287,10.68865,12.61891,12.63124,10.75983,9.320039,10.58934,12.16286
"May",9.941963,10.20637,12.86694,10.65806,11.70941,13.31379,13.44818,14.1548,11.22229,12.32636,15.25765
"Jun",14.98013,17.75083,17.52595,18.90678,14.8413,18.90655,18.99788,16.62106,14.93864,16.72993,16.29753
"Jul",31.13021,26.90373,31.2626,27.96428,26.71276,31.09352,27.50265,31.58779,25.94305,31.27844,27.57331
"Aug",29.29093,24.92991,27.71221,28.04412,28.00793,30.77265,28.28246,30.43916,27.83988,31.08645,28.18473
"Sep",18.96992,16.16575,13.39779,21.35689,19.43481,19.25937,17.64452,20.9177,17.28588,18.90057,18.88951
"Oct",4.487354,4.064752,2.684836,6.658477,5.583904,4.97486,5.974808,9.359956,4.506351,6.267212,5.33398
"Nov",2.331436,2.448845,3.115548,4.041569,2.828286,2.832376,3.18008,2.936939,3.587307,3.183433,3.486957
"Dec",4.098957,4.130476,4.76151,4.787674,3.719827,2.721525,3.026562,1.817872,2.764443,4.304442,5.013175
