"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.4143246,0.2956256,0.2212066,0.2273985,0.404736,0.5020331,0.4485153,0.2456056,0.4490386,0.3561377,0.3103622,0.338762,0.3995021,0.4309087,0.3284251,0.5366961,0.5107185,0.2846571,0.3436525,0.2908621,0.5028135,0.4354958,0.4001681,0.4249395,0.4343487,0.4347571
"Aug",0.565677,0.5217001,0.4536314,0.4451194,0.498032,0.5953839,0.5178609,0.4685857,0.5983621,0.5836219,0.3795612,0.4942464,0.4222317,0.5405176,0.5237426,0.5128614,0.5739178,0.4253404,0.513625,0.4462762,0.5703496,0.5664629,0.5661023,0.5379412,0.5302833,0.4790643
"Sep",0.6044811,0.5594012,0.5687917,0.5003695,0.5303383,0.5699071,0.5492866,0.5568802,0.5319874,0.5671137,0.4327059,0.5597958,0.3742039,0.6238676,0.5975567,0.488168,0.5001133,0.5508141,0.5591931,0.4252769,0.5799233,0.544876,0.5758128,0.5560089,0.5507041,0.5514278
"Oct",0.4816175,0.5216967,0.4592267,0.4079938,0.4453563,0.4886054,0.4487357,0.4606217,0.4498605,0.4700624,0.3942319,0.4612565,0.3876086,0.5488778,0.4594191,0.4159213,0.4025502,0.5675504,0.4815928,0.4564974,0.4567984,0.3984101,0.4700295,0.4500616,0.4325087,0.4574528
"Nov",0.3482773,0.3689642,0.3730111,0.3022928,0.3557501,0.3617996,0.3641414,0.4132544,0.3706756,0.3665874,0.323165,0.3641891,0.3228997,0.400904,0.355679,0.3285966,0.3713033,0.4444653,0.4410076,0.4199158,0.3925448,0.305407,0.3850197,0.3315812,0.3411248,0.3498345
"Dec",0.2875418,0.2962689,0.3012555,0.2663443,0.2984405,0.319121,0.2857927,0.3754831,0.2775902,0.2986228,0.2827742,0.2771218,0.3040412,0.3237791,0.2856911,0.2822442,0.3337354,0.3622923,0.3355404,0.3540537,0.3393234,0.2819586,0.3430836,0.2881976,0.2958485,0.2896357
"Jan",,0.2183157,0.2585129,0.2497111,0.2599488,0.2614067,0.2757321,0.2667664,0.30705,0.2359314,0.2421331,0.2327335,0.2560652,0.2614499,0.2801317,0.2384539,0.2473378,0.2694278,0.2959333,0.291002,0.31556,0.2837608,0.2656187,0.270274,0.2757,0.2593195
"Feb",,0.1959463,0.2437033,0.2536572,0.2140937,0.231619,0.2273873,0.2319848,0.2404408,0.2021945,0.2202687,0.2068789,0.2266143,0.1951151,0.236765,0.2131826,0.2264831,0.2376089,0.2828683,0.2606857,0.2675911,0.2718939,0.2308925,0.2476007,0.2489745,0.2196127
"Mar",,0.2000077,0.1986272,0.2113761,0.2047895,0.220645,0.1912138,0.227706,0.2103165,0.2013786,0.2077888,0.2002086,0.1968421,0.1986147,0.219575,0.197796,0.2027816,0.2094581,0.2354209,0.2345379,0.2335579,0.2342905,0.2375179,0.2346584,0.2518762,0.2183798
"Apr",,0.2158875,0.1965372,0.2057399,0.1914587,0.1831895,0.1895632,0.1928371,0.1994374,0.1971307,0.1810139,0.1913763,0.2048792,0.2048926,0.2016886,0.2177569,0.2118071,0.2064791,0.1940147,0.1826505,0.2243915,0.2593083,0.1976861,0.2141154,0.2404793,0.2086929
"May",,0.2195152,0.18909,0.1867407,0.1611253,0.1928202,0.2148334,0.146088,0.1896884,0.1856052,0.1658854,0.1865681,0.25184,0.2072522,0.2105761,0.2782995,0.2278832,0.195811,0.1802003,0.2134463,0.1964231,0.2289403,0.1783271,0.2114698,0.2251864,0.2077472
"Jun",,0.1926095,0.1988757,0.1775433,0.2487533,0.2728003,0.3714807,0.1724566,0.2534861,0.1691319,0.2556989,0.1703951,0.3627131,0.1865866,0.2168372,0.4799963,0.3504858,0.2389212,0.1806795,0.2255247,0.2942541,0.2234695,0.1968338,0.1898432,0.257993,0.2584158
