"year","MIXEDET"
1983,21.1573901354353
1984,28.1983914689928
1985,27.1791954999155
1986,33.3079859516063
1987,26.4112665662216
1988,27.8645460741102
1989,33.1908427148904
1990,30.903266690285
1991,27.3116589769699
1992,21.0141043802305
1993,24.6287452824683
1994,31.8919882108467
1995,26.6311686169515
1996,29.3551375367936
1997,26.1002430466018
1998,27.3585555156217
1999,34.2986545766052
2000,33.58208
2001,30.22313
2002,22.35249
2003,31.16522
2004,28.99431
2005,26.15336
2006,34.947
2007,28.90018
2008,33.32936
2009,27.61217
2010,27.05269
2011,28.24723
2012,25.27626
2013,32.6764297976739
2014,38.76546
