"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",17.46399,19.32302,19.18713,20.19356,21.11183,20.35604,21.04868,22.05268,21.05969,21.36779,21.21667,21.7678,21.15766,21.80194,23.0888,21.38193,23.55219,21.91998,21.65049,21.72901,21.46725,21.3109,19.96967,20.57557,20.89759,20.00122,20.66602,21.07238,19.40413,18.78468,19.66631
"Feb",18.5006,16.06902,18.91935,20.64531,19.60807,21.42864,25.79693,20.4634,19.74976,21.50098,20.20571,21.77476,18.43203,23.46806,22.16518,20.75347,20.22294,22.54538,23.04597,24.09286,20.89991,19.90308,20.96418,22.18506,22.13625,21.0984,21.15873,21.95955,19.94094,20.17799,20.44834
"Mar",23.86797,24.82646,22.4596,26.34688,24.24075,24.04568,24.13442,23.21293,26.52749,25.77818,28.94307,32.77004,26.87247,29.27952,24.65991,23.8341,29.20209,29.59511,28.94026,28.62201,25.74973,27.04363,27.59509,28.64602,28.39004,27.96289,27.76628,28.296,26.08301,28.2493,29.87977
"Apr",25.69014,26.83511,24.13194,26.79758,27.13347,24.72954,26.03163,23.86601,27.74868,26.66467,29.28576,30.28758,31.81891,30.74268,23.77287,27.34801,29.36588,26.90854,30.38219,29.85511,30.709,30.37573,31.33911,28.73857,32.07738,28.8586,30.00887,28.03957,31.19974,30.24544,31.92488
"May",22.83741,29.40687,28.03766,28.61993,30.56345,28.65181,28.6594,26.31205,31.7006,30.49236,30.56055,28.81081,27.45482,34.63492,26.4066,25.29325,29.8714,32.19919,32.31055,31.83097,31.14084,35.60008,31.6104,32.79095,32.0091,30.20297,32.92595,33.59838,31.3342,36.08317,32.85168
"Jun",25.81366,30.07159,29.97667,26.69601,35.67786,29.86327,30.77662,28.85536,32.20706,30.1881,35.85904,31.28226,28.79634,34.99815,34.01172,26.89955,30.03981,35.44879,36.5299,35.41001,30.82178,32.81914,31.8576,36.60565,32.917,35.60705,29.14328,34.97271,43.44178,42.95133,40.92769
"Jul",37.72575,38.70058,37.96276,31.86012,44.37887,24.36892,38.25729,31.24047,30.17652,43.35587,43.53606,30.63077,31.39154,35.65565,39.86043,33.10859,37.42075,40.57794,42.33944,37.63573,36.35609,37.52419,36.47365,40.02306,39.63194,35.04429,31.86819,34.58841,50.93181,45.41373,47.24668
"Aug",34.34299,39.94635,41.05565,48.46292,44.6635,36.34772,37.75538,47.50557,41.64476,32.99223,44.38882,35.01892,45.81252,39.97338,49.19355,32.22977,44.49719,38.33752,38.27065,40.09489,37.9513,39.8531,40.86621,43.14783,45.81467,38.06346,47.35676,36.63813,45.43013,52.55412,49.16257
"Sep",46.1671,42.34455,44.24596,46.10084,45.7793,44.85698,38.91361,39.19831,46.29676,45.63375,44.84469,45.65247,47.88695,48.66267,42.62893,47.45973,49.80219,44.31922,45.49699,42.10462,45.28922,44.32851,41.44679,44.70369,44.60136,39.43399,51.32522,51.1455,53.90416,54.44087,54.884
"Oct",34.39861,39.06343,38.38819,42.44865,37.87942,38.84225,42.37104,40.85547,38.47595,34.30368,36.69846,41.51052,38.02511,39.8298,37.67336,38.50702,43.10499,37.42851,37.78166,40.63594,42.09368,38.53201,40.18532,43.00092,42.74379,38.63053,38.89573,40.85544,42.55458,41.00557,42.03023
"Nov",25.98886,24.60367,26.70226,28.14462,28.6241,28.74705,28.77747,24.761,26.13077,28.96556,29.24185,28.44786,27.69753,29.19842,31.41272,30.06433,31.35242,31.65345,29.56964,27.603,28.85498,27.81049,29.20292,30.21415,29.20214,27.6071,27.20252,28.48739,26.90109,28.315,28.31531
"Dec",23.07472,19.96237,22.66543,22.396,22.18802,21.24752,24.75745,20.74907,22.59708,23.76047,23.80575,23.39945,23.5275,23.45074,23.57932,23.77723,26.04646,24.90495,24.19131,23.77532,21.85369,23.03732,22.52892,23.83045,22.65544,21.57277,22.24502,22.80403,22.16171,21.13549,20.80993
