"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,12.58,9.65,54.07,60.08,0,56.04,116.12
1984,16,67.83,34.18,59.18,0,0,40.07,40.07
1985,16,26.41,26.41,71.65,0,0,1.09,1.09
1986,16,50,50,75,0,0,0,0
1987,16,24.13,15.63,54.1,0,0,55.94,55.94
1988,16,22.35,42.35,75,8.68,0,0,8.68
1989,16,1.96,25,75,100,0,0,100
1990,16,30.52,45.63,72.45,0,0,0,0
1991,16,25,50,75,0,0,0,0
1992,16,30.38,25,50,0,0,68.75,68.75
1993,16,36.62,10.63,50,0,0,68.75,68.75
1994,16,34,50,75,0,0,0,0
1995,16,31.05,50,75,0,0,0,0
1996,16,41.96,25,75,0,0,0,0
1997,16,64.58,50,75,0,0,0,0
1998,16,59.67,50,75,0,0,0,0
1999,16,50,50,75,0,0,0,0
2000,16,33.75,43.66,75,0,0,0,0
2001,16,42.29,36.59,75,0,0,0,0
2002,16,34.66,50,75,0,0,0,0
2003,16,34.47,50,75,0,0,0,0
2004,16,25,28.53,53.53,0,0,57.73,57.73
2005,16,23.91,39.55,75,0.47,0,0,0.47
2006,16,27.73,25,50,0,0,68.75,68.75
2007,16,27.81,33.17,75,0,0,0,0
2008,16,65.53,40.53,75,0,0,0,0
2009,16,37.47,32.96,75,0,0,0,0
2010,16,20.63,34.78,75,17.71,0,0,17.71
2011,16,43.13,34.64,69.24,0,0,8.64,8.64
2012,16,10.15,35.15,75,72.88,0,0,72.88
2013,16,16.84,34.3,75,37.68,0,0,37.68
2014,16,34.38,50,75,0,0,0,0
2015,16,32.3,36.4,75,0,0,0,0
2016,16,73.96,50,75,0,0,0,0
2017,16,11.14,26.83,75,67.67,0,0,67.67
2018,16,61.24,36.24,75,0,0,0,0
2019,16,54.28,50,75,0,0,0,0
