"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,19.32,28.78,75,81.22,0,0,81.22
1984,16,75,50,75,0,0,0,0
1985,16,40.88,40.39,75,0,0,0,0
1986,16,42.45,50,75,0,0,0,0
1987,16,72.55,36.62,61.62,0,0,47.78,47.78
1988,16,64.04,39.04,75,0,0,0,0
1989,16,70.38,50,75,0,0,0,0
1990,16,44.19,43.12,75,0,0,0,0
1991,16,37.42,50,75,2.51,0,0,2.51
1992,16,26.36,44.85,75,50.59,0,0,50.59
1993,16,47.75,35.52,75,0,0,0,0
1994,16,75,50,75,0,0,0,0
1995,16,60.14,50,75,0,0,0,0
1996,16,60.85,35.85,75,0,0,0,0
1997,16,74.74,49.74,72.66,0,0,8.36,8.36
1998,16,54.35,41.8,75,0,0,0,0
1999,16,37.66,50,75,1.5,0,0,1.5
2000,16,40.01,50,75,0,0,0,0
2001,16,64.2,50,75,0,0,0,0
2002,16,40.94,43.41,75,0,0,0,0
2003,16,42.84,50,75,0,0,0,0
2004,16,21.41,27.12,58.46,72.11,0,59.07,131.18
2005,16,32.07,50,75,25.8,0,0,25.8
2006,16,70.62,50,75,0,0,0,0
2007,16,75,49.18,74.18,0,0,2.94,2.94
2008,16,69.58,50,75,0,0,0,0
2009,16,57.93,46.45,75,0,0,0,0
2010,16,39.12,28.54,75,0,0,0,0
2011,16,75,50,75,0,0,0,0
2012,16,48.2,50,75,0,0,0,0
2013,16,31.21,47.23,75,29.5,0,0,29.5
2014,16,25.59,50,75,53.96,0,0,53.96
2015,16,49.45,49.45,75,0,0,0,0
2016,16,50,50,75,0,0,0,0
2017,16,37.83,45.91,75,0.75,0,0,0.75
2018,16,75,50,75,0,0,0,0
2019,16,69.6,50,75,0,0,0,0
