"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,19.49,1.54,28.16,0,0,44.86,44.86
1984,16,0.34,0.34,0,100,0,100,200
1985,16,0.42,25.42,71.09,100,0,0,100
1986,16,25,48.32,48.32,0,0,0,0
1987,16,1.6,3.07,16,100,0,73.8,173.8
1988,16,0,0,50,100,0,0,100
1989,16,0.81,18,68,100,0,0,100
1990,16,0,0,50,100,0,0,100
1991,16,7.59,25,75,0,0,0,0
1992,16,0,16.53,46.38,100,0,1.48,101.48
1993,16,0.17,0,48.51,100,0,0,100
1994,16,0,25,75,100,0,0,100
1995,16,3.11,3.57,53.57,100,0,0,100
1996,16,24.67,25,59.02,0,0,0,0
1997,16,36.9,39.14,69.78,0,0,0,0
1998,16,0,25,75,100,0,0,100
1999,16,18.81,43.81,75,0,0,0,0
2000,16,2.05,26.17,57.62,100,0,0,100
2001,16,12.78,12.78,50,0,0,0,0
2002,16,0,25,68.87,100,0,0,100
2003,16,0,7.61,45.55,100,0,3.46,103.46
2004,16,6.39,6.39,33.72,0,0,31.61,31.61
2005,16,0,22.55,72.55,100,0,0,100
2006,16,0,25,75,100,0,0,100
2007,16,8.24,33.24,75,0,0,0,0
2008,16,7.13,9.37,58.34,0,0,0,0
2009,16,0,10.5,42.16,100,0,11.52,111.52
2010,16,0,0,50,100,0,0,100
2011,16,0,4.07,54.07,100,0,0,100
2012,16,0,0,50,100,0,0,100
2013,16,0,14.5,64.5,100,0,0,100
2014,16,0,0,36.6,100,0,24.77,124.77
2015,16,0,0,0,100,0,100,200
2016,16,0,0,50,100,0,0,100
2017,16,0,25,55.04,100,0,0,100
2018,16,19.16,37.99,67.1,0,0,0,0
2019,16,4.33,25,59.05,100,0,0,100
