"","MIXEDET"
"1983",28.4917412757368
"1984",4.16796028856216
"1985",21.4580395922238
"1986",21.5110860404304
"1987",31.6532697179247
"1988",9.61454558832439
"1989",32.511473171417
"1990",-9.11873419706958
"1991",19.7369387904373
"1992",19.8374497578966
"1993",34.6328598978833
"1994",14.3540382255564
"1995",22.0118466862775
"1996",21.7883701735222
"1997",30.2769073984698
"1998",19.5919717459535
"1999",23.2273660853932
"2000",9.7
"2001",11.5
"2002",6.5
"2003",26.8
"2004",4.6
"2005",25.3
"2006",20.8
"2007",46.8
"2008",37.5
"2009",23.1
"2010",47.2
"2011",14.1
"2012",31.5
"2013",3.2
"2014",25.2
