"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"23-Feb",0,0,0.107573,0,0,0,0,3.980201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-Feb",0,0,0.45000972972973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.65036,0
"25-Feb",0,0,0.0862065714285714,0.0862065714285714,0,0,0,0.0862065714285714,0,0,0,3.01723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Mar",0,4.025869,0,0,0,0,0,1.72601278378378,0,0,0,0,0,0,0,0,0,0,0,16.69923,8.201417,0,0,0,0,0,9.816287,0,0,0,0,0,0,0,0,0,25.11967,0
"2-Mar",0,5.373035,0,0,14.09807,0,0,0.526246081081081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Mar",0,14.09884,0,0,30.63705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Mar",0,0,0,0,12.46566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.383555,0,0,0,0,4.851031,0
"5-Mar",0,0,0.482761971428571,0,0.482761971428571,0,0,0,0,0,0,0,0,0,0,0.482761971428571,0,0,0,0,0,0,0,0,0,0,0,0,0,6.277909,0,10.61876,0,0,0,0,0,0
"6-Mar",0,0,0.635225388888889,0.635225388888889,0,0,9.454648,0,0,0,0,0,0,0,0,0,0,0,0,9.474353,0,0,0,0,0,0,0,0,0,0,0,3.939113,0,0,0,0,0,0
"7-Mar",0,0,0,0,17.81123,0,0.481384594594595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-Mar",0,0,0,0,0,0,0,8.183644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Mar",0,0,0,0,0,0,0,0,3.435332,0,0,0.315778837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.266017,2.982468
"10-Mar",0,0,0,0,7.532035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-Mar",0,0,0,0,0.219068216216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.105524,0,0,0,0,0,0
"12-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58623,23.33552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.65615,0,0,0,0,0,0,0,0,19.52919,0,0,0,0,0,0
"14-Mar",0,0,0,0,0.906850405405405,0,2.439162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.558935,0,0,0,0,0,7.143498,0,0,15.41187,0,0,0,0,0,0
"15-Mar",0,0,0.412566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.488382,0,0,0,0,0,0,0,0,0,0,0,10.77656,0,0,0,0,0,0
"16-Mar",0,0,0.795038054054054,0,0,0,5.311436,0,0,9.348873,0,0,0,0,4.415247,0,0,0,5.474724,0,4.866128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.779876054054054,0,0,5.169794,0,23.68562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Mar",0,0,0,2.99607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Mar",0,0,0,20.22136,0,0,0,0,5.037912,9.761836,0,0,0,0,6.751832,0,0,0,0,0,0,0,12.13481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-Mar",0,0,0,4.372113,0,0,0,0,0,21.41652,0,0,0,0,3.104838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
